PPI,Pathogen_protein,Host_protein,class
N~O00425,N,O00425,Positive
ORF14~Q9H3N1,ORF14,Q9H3N1,Positive
NSP14~P27708,NSP14,P27708,Positive
ORF7B~Q6P996,ORF7B,Q6P996,Positive
ORF14~O60281,ORF14,O60281,Positive
ORF3A~Q86X29,ORF3A,Q86X29,Positive
ORF9B~Q8IUC6,ORF9B,Q8IUC6,Positive
ORF8~P23229,ORF8,P23229,Positive
ORF7A~P51148,ORF7A,P51148,Positive
ORF7A~Q8TB37,ORF7A,Q8TB37,Positive
NSP16~Q15154,NSP16,Q15154,Positive
ORF3B~C9JH25,ORF3B,C9JH25,Positive
E~Q9BQ39,E,Q9BQ39,Positive
NSP6~O15498,NSP6,O15498,Positive
ORF7B~Q16864,ORF7B,Q16864,Positive
ORF7B~Q8NC42,ORF7B,Q8NC42,Positive
NSP9~O15344,NSP9,O15344,Positive
ORF8~P30990,ORF8,P30990,Positive
ORF7A~P49821,ORF7A,P49821,Positive
NSP9~Q14207,NSP9,Q14207,Positive
NSP6~Q8TC12,NSP6,Q8TC12,Positive
N~P62701,N,P62701,Positive
ORF6~Q5VTR2,ORF6,Q5VTR2,Positive
ORF7B~Q16658,ORF7B,Q16658,Positive
E~P17706,E,P17706,Positive
NSP5~Q5SRE5,NSP5,Q5SRE5,Positive
NSP4~Q16678,NSP4,Q16678,Positive
ORF6~O00429,ORF6,O00429,Positive
NSP7~Q12815,NSP7,Q12815,Positive
NSP2~P38432,NSP2,P38432,Positive
E~Q96KC8,E,Q96KC8,Positive
NSP4~Q8IZV5,NSP4,Q8IZV5,Positive
NSP2~Q8ND83,NSP2,Q8ND83,Positive
NSP6~Q99758,NSP6,Q99758,Positive
E~Q96S66,E,Q96S66,Positive
ORF7A~C9JH25,ORF7A,C9JH25,Positive
N~P62277,N,P62277,Positive
NSP4~P62906,NSP4,P62906,Positive
M~Q96JB5,M,Q96JB5,Positive
ORF9B~P16615,ORF9B,P16615,Positive
NSP3~Q16891,NSP3,Q16891,Positive
NSP6~Q13112,NSP6,Q13112,Positive
E~Q9NYG2,E,Q9NYG2,Positive
ORF3A~P13674,ORF3A,P13674,Positive
NSP8~Q99873,NSP8,Q99873,Positive
ORF9B~O75489,ORF9B,O75489,Positive
NSP4~Q12899,NSP4,Q12899,Positive
NSP6~P39023,NSP6,P39023,Positive
NSP14~Q8IW35,NSP14,Q8IW35,Positive
ORF8~O75436,ORF8,O75436,Positive
M~O60493,M,O60493,Positive
ORF7A~O00124,ORF7A,O00124,Positive
NSP2~Q7L266,NSP2,Q7L266,Positive
ORF3B~P0CG13,ORF3B,P0CG13,Positive
M~Q99873,M,Q99873,Positive
ORF3B~P63000,ORF3B,P63000,Positive
NSP4~Q8IWB9,NSP4,Q8IWB9,Positive
ORF3B~Q9BZH6,ORF3B,Q9BZH6,Positive
ORF8~Q9BVK8,ORF8,Q9BVK8,Positive
S~Q9BUE6,S,Q9BUE6,Positive
NSP6~P63167,NSP6,P63167,Positive
ORF9B~Q07973,ORF9B,Q07973,Positive
NSP8~Q04446,NSP8,Q04446,Positive
ORF3A~O75674,ORF3A,O75674,Positive
ORF3B~P43378,ORF3B,P43378,Positive
M~Q96JI7,M,Q96JI7,Positive
M~Q9HBR0,M,Q9HBR0,Positive
ORF7B~P62910,ORF7B,P62910,Positive
NSP2~P82673,NSP2,P82673,Positive
ORF7B~O14975,ORF7B,O14975,Positive
NSP4~B7ZAQ6,NSP4,B7ZAQ6,Positive
M~Q8WVM8,M,Q8WVM8,Positive
ORF14~Q969N2,ORF14,Q969N2,Positive
NSP12~Q7Z3I7,NSP12,Q7Z3I7,Positive
NSP2~P30622,NSP2,P30622,Positive
NSP4~Q8N511,NSP4,Q8N511,Positive
ORF8~P16435,ORF8,P16435,Positive
NSP6~O60701,NSP6,O60701,Positive
ORF8~B7ZAQ6,ORF8,B7ZAQ6,Positive
NSP4~Q14739,NSP4,Q14739,Positive
ORF7A~Q96CN9,ORF7A,Q96CN9,Positive
M~O75131,M,O75131,Positive
ORF8~Q9BT09,ORF8,Q9BT09,Positive
NSP6~Q7KZN9,NSP6,Q7KZN9,Positive
NSP16~Q9UNK9,NSP16,Q9UNK9,Positive
S~P35611,S,P35611,Positive
ORF8~O43291,ORF8,O43291,Positive
NSP15~Q53EZ4,NSP15,Q53EZ4,Positive
ORF14~Q3T8J9,ORF14,Q3T8J9,Positive
NSP4~A0FGR8,NSP4,A0FGR8,Positive
M~Q92747,M,Q92747,Positive
ORF7B~P27797,ORF7B,P27797,Positive
M~Q9BR76,M,Q9BR76,Positive
ORF7A~P17980,ORF7A,P17980,Positive
ORF7B~Q92545,ORF7B,Q92545,Positive
NSP4~Q96K49,NSP4,Q96K49,Positive
ORF8~Q9Y2K5,ORF8,Q9Y2K5,Positive
ORF7B~Q9NU53,ORF7B,Q9NU53,Positive
ORF7A~Q9HD45,ORF7A,Q9HD45,Positive
NSP4~Q6P1A2,NSP4,Q6P1A2,Positive
M~P49116,M,P49116,Positive
NSP4~O14763,NSP4,O14763,Positive
S~Q96QK1,S,Q96QK1,Positive
ORF6~Q96CP6,ORF6,Q96CP6,Positive
ORF7B~O15552,ORF7B,O15552,Positive
NSP5~Q9NXH9,NSP5,Q9NXH9,Positive
S~Q8IUN9,S,Q8IUN9,Positive
ORF7B~O95870,ORF7B,O95870,Positive
ORF7B~Q14137,ORF7B,Q14137,Positive
S~Q3MJ13,S,Q3MJ13,Positive
ORF7B~P38919,ORF7B,P38919,Positive
ORF7A~Q9UBF8,ORF7A,Q9UBF8,Positive
NSP10~Q86X55,NSP10,Q86X55,Positive
ORF8~Q14739,ORF8,Q14739,Positive
ORF14~Q8WYP5,ORF14,Q8WYP5,Positive
M~Q9UHW9,M,Q9UHW9,Positive
NSP4~Q5T7V8,NSP4,Q5T7V8,Positive
S~O60279,S,O60279,Positive
ORF7A~O95427,ORF7A,O95427,Positive
NSP4~Q96S66,NSP4,Q96S66,Positive
E~Q9P258,E,Q9P258,Positive
S~Q9UGP8,S,Q9UGP8,Positive
ORF7A~P31639,ORF7A,P31639,Positive
ORF8~P35052,ORF8,P35052,Positive
ORF6~P34897,ORF6,P34897,Positive
NSP7~P25054,NSP7,P25054,Positive
NSP4~Q6ZMG9,NSP4,Q6ZMG9,Positive
ORF7B~P56749,ORF7B,P56749,Positive
NSP13~Q4V328,NSP13,Q4V328,Positive
NSP16~P28331,NSP16,P28331,Positive
ORF7B~Q16850,ORF7B,Q16850,Positive
E~Q13586,E,Q13586,Positive
M~Q9BRP4,M,Q9BRP4,Positive
NSP15~O94788,NSP15,O94788,Positive
ORF8~P15151,ORF8,P15151,Positive
ORF7B~Q8IY17,ORF7B,Q8IY17,Positive
NSP6~Q9GZY8,NSP6,Q9GZY8,Positive
ORF14~Q5T8D3,ORF14,Q5T8D3,Positive
ORF7B~Q9ULK5,ORF7B,Q9ULK5,Positive
NSP13~Q8TD10,NSP13,Q8TD10,Positive
N~Q9GZL7,N,Q9GZL7,Positive
NSP2~O75170,NSP2,O75170,Positive
ORF7B~Q9NW15,ORF7B,Q9NW15,Positive
M~Q96CM8,M,Q96CM8,Positive
ORF7B~Q9Y673,ORF7B,Q9Y673,Positive
S~Q8TCT9,S,Q8TCT9,Positive
NSP15~Q9GZR2,NSP15,Q9GZR2,Positive
NSP10~Q9P2N6,NSP10,Q9P2N6,Positive
M~O14936,M,O14936,Positive
ORF3B~Q9HD45,ORF3B,Q9HD45,Positive
NSP2~Q12968,NSP2,Q12968,Positive
M~Q2TAY7,M,Q2TAY7,Positive
ORF7B~Q9UM00,ORF7B,Q9UM00,Positive
NSP6~Q9NR31,NSP6,Q9NR31,Positive
ORF3B~P19404,ORF3B,P19404,Positive
NSP6~Q15118,NSP6,Q15118,Positive
E~Q5JTV8,E,Q5JTV8,Positive
ORF14~Q06136,ORF14,Q06136,Positive
ORF7A~P42167,ORF7A,P42167,Positive
NSP4~Q8N4V1,NSP4,Q8N4V1,Positive
NSP4~Q5BJD5,NSP4,Q5BJD5,Positive
NSP15~Q9UNH7,NSP15,Q9UNH7,Positive
NSP9~Q86VP1,NSP9,Q86VP1,Positive
NSP4~Q14746,NSP4,Q14746,Positive
ORF7A~O43402,ORF7A,O43402,Positive
NSP4~P23229,NSP4,P23229,Positive
ORF14~O96000,ORF14,O96000,Positive
ORF3B~Q5T7V8,ORF3B,Q5T7V8,Positive
NSP6~P06744,NSP6,P06744,Positive
ORF7A~Q9Y320,ORF7A,Q9Y320,Positive
ORF3A~Q9UPY5,ORF3A,Q9UPY5,Positive
ORF3B~Q99650,ORF3B,Q99650,Positive
ORF7A~P51648,ORF7A,P51648,Positive
NSP13~P16615,NSP13,P16615,Positive
ORF7B~P20700,ORF7B,P20700,Positive
NSP6~Q14807,NSP6,Q14807,Positive
ORF7B~O75581,ORF7B,O75581,Positive
NSP13~Q13772,NSP13,Q13772,Positive
S~Q99536,S,Q99536,Positive
ORF6~P61006,ORF6,P61006,Positive
ORF8~O76024,ORF8,O76024,Positive
ORF7B~Q8TBA6,ORF7B,Q8TBA6,Positive
ORF6~P62314,ORF6,P62314,Positive
NSP4~Q9UGP8,NSP4,Q9UGP8,Positive
ORF7A~Q8NHH9,ORF7A,Q8NHH9,Positive
NSP6~Q8TEY7,NSP6,Q8TEY7,Positive
NSP3~Q9H5L6,NSP3,Q9H5L6,Positive
M~Q9P265,M,Q9P265,Positive
NSP4~Q9UIQ6,NSP4,Q9UIQ6,Positive
ORF3B~Q01650,ORF3B,Q01650,Positive
S~Q9H267,S,Q9H267,Positive
NSP12~Q96KQ4,NSP12,Q96KQ4,Positive
ORF7A~O75460,ORF7A,O75460,Positive
ORF14~P62318,ORF14,P62318,Positive
NSP6~P53985,NSP6,P53985,Positive
ORF7B~Q96GZ6,ORF7B,Q96GZ6,Positive
NSP6~P62081,NSP6,P62081,Positive
E~Q9H496,E,Q9H496,Positive
NSP4~Q9NQX7,NSP4,Q9NQX7,Positive
NSP6~Q9Y6M7,NSP6,Q9Y6M7,Positive
NSP6~O96011,NSP6,O96011,Positive
NSP5~Q2TAY7,NSP5,Q2TAY7,Positive
NSP16~Q8TEM1,NSP16,Q8TEM1,Positive
ORF8~Q53EP0,ORF8,Q53EP0,Positive
M~Q96EM0,M,Q96EM0,Positive
ORF6~Q96SN8,ORF6,Q96SN8,Positive
S~O94901,S,O94901,Positive
NSP4~Q5H8A4,NSP4,Q5H8A4,Positive
NSP4~Q15139,NSP4,Q15139,Positive
E~O15439,E,O15439,Positive
ORF7A~Q9Y678,ORF7A,Q9Y678,Positive
NSP10~Q99615,NSP10,Q99615,Positive
E~Q8N1S5,E,Q8N1S5,Positive
ORF7B~P49821,ORF7B,P49821,Positive
ORF9B~Q05193,ORF9B,Q05193,Positive
ORF9B~O95786,ORF9B,O95786,Positive
ORF7A~Q9H330,ORF7A,Q9H330,Positive
NSP6~Q9H8Y8,NSP6,Q9H8Y8,Positive
ORF7B~Q05639,ORF7B,Q05639,Positive
S~Q5SNT2,S,Q5SNT2,Positive
ORF3A~O14828,ORF3A,O14828,Positive
NSP12~Q9BZG8,NSP12,Q9BZG8,Positive
M~Q96S66,M,Q96S66,Positive
M~Q9NRZ5,M,Q9NRZ5,Positive
ORF7A~Q8WUX9,ORF7A,Q8WUX9,Positive
M~Q6PML9,M,Q6PML9,Positive
ORF3A~P11182,ORF3A,P11182,Positive
E~Q16880,E,Q16880,Positive
NSP9~Q8TD19,NSP9,Q8TD19,Positive
ORF3B~Q96J02,ORF3B,Q96J02,Positive
ORF7B~Q86WA9,ORF7B,Q86WA9,Positive
NSP13~P61247,NSP13,P61247,Positive
ORF7B~Q13393,ORF7B,Q13393,Positive
M~P53396,M,P53396,Positive
ORF7B~P08581,ORF7B,P08581,Positive
ORF7A~P17252,ORF7A,P17252,Positive
NSP5~P17987,NSP5,P17987,Positive
M~Q15643,M,Q15643,Positive
E~Q8TDW0,E,Q8TDW0,Positive
S~Q9UJF2,S,Q9UJF2,Positive
NSP12~Q9BXI2,NSP12,Q9BXI2,Positive
ORF3A~Q92896,ORF3A,Q92896,Positive
M~P60468,M,P60468,Positive
M~Q5VZ89,M,Q5VZ89,Positive
S~P48651,S,P48651,Positive
NSP8~P54274,NSP8,P54274,Positive
NSP2~Q9Y5X3,NSP2,Q9Y5X3,Positive
ORF3A~P49840,ORF3A,P49840,Positive
NSP2~Q9UH65,NSP2,Q9UH65,Positive
ORF3A~Q8WXE0,ORF3A,Q8WXE0,Positive
ORF9B~Q9NP80,ORF9B,Q9NP80,Positive
M~Q9GZU7,M,Q9GZU7,Positive
NSP16~P45984,NSP16,P45984,Positive
M~Q9UJ68,M,Q9UJ68,Positive
E~O15269,E,O15269,Positive
M~Q13370,M,Q13370,Positive
NSP14~O43292,NSP14,O43292,Positive
NSP4~Q8NE86,NSP4,Q8NE86,Positive
ORF7B~Q8TC12,ORF7B,Q8TC12,Positive
NSP4~Q13444,NSP4,Q13444,Positive
ORF8~Q16658,ORF8,Q16658,Positive
E~Q9NZ43,E,Q9NZ43,Positive
ORF3A~P15313,ORF3A,P15313,Positive
NSP6~Q9HD20,NSP6,Q9HD20,Positive
ORF7B~Q92633,ORF7B,Q92633,Positive
NSP6~Q9Y2Z0,NSP6,Q9Y2Z0,Positive
NSP4~Q8IZA0,NSP4,Q8IZA0,Positive
NSP6~O95477,NSP6,O95477,Positive
M~O14744,M,O14744,Positive
ORF8~Q8N474,ORF8,Q8N474,Positive
M~P61313,M,P61313,Positive
ORF3B~P82912,ORF3B,P82912,Positive
NSP4~P46781,NSP4,P46781,Positive
NSP14~Q6Q0C0,NSP14,Q6Q0C0,Positive
M~O75581,M,O75581,Positive
NSP4~Q03252,NSP4,Q03252,Positive
NSP3~Q9H1E5,NSP3,Q9H1E5,Positive
M~O75410,M,O75410,Positive
ORF7A~P55011,ORF7A,P55011,Positive
ORF7B~O95249,ORF7B,O95249,Positive
M~Q92569,M,Q92569,Positive
ORF7A~Q9NXB0,ORF7A,Q9NXB0,Positive
ORF7B~O75396,ORF7B,O75396,Positive
ORF7A~P42566,ORF7A,P42566,Positive
M~Q5JTV8,M,Q5JTV8,Positive
E~P05556,E,P05556,Positive
ORF6~P18085,ORF6,P18085,Positive
ORF8~P52848,ORF8,P52848,Positive
NSP4~Q8NHP6,NSP4,Q8NHP6,Positive
NSP4~P49257,NSP4,P49257,Positive
NSP3~P23528,NSP3,P23528,Positive
NSP6~Q14739,NSP6,Q14739,Positive
M~O43852,M,O43852,Positive
NSP15~Q6P1X5,NSP15,Q6P1X5,Positive
M~Q9H0W5,M,Q9H0W5,Positive
NSP6~Q5JTV8,NSP6,Q5JTV8,Positive
NSP6~Q9NVJ2,NSP6,Q9NVJ2,Positive
NSP6~P08758,NSP6,P08758,Positive
NSP14~O14744,NSP14,O14744,Positive
ORF3B~Q9Y2V7,ORF3B,Q9Y2V7,Positive
ORF7B~Q6UXV4,ORF7B,Q6UXV4,Positive
ORF7B~O75298,ORF7B,O75298,Positive
E~O75694,E,O75694,Positive
NSP7~Q6W2J9,NSP7,Q6W2J9,Positive
NSP12~Q96B67,NSP12,Q96B67,Positive
M~P04035,M,P04035,Positive
ORF14~Q12772,ORF14,Q12772,Positive
ORF7B~Q9BWN1,ORF7B,Q9BWN1,Positive
NSP2~P11021,NSP2,P11021,Positive
ORF14~Q96HE9,ORF14,Q96HE9,Positive
M~Q99650,M,Q99650,Positive
NSP6~P51572,NSP6,P51572,Positive
NSP7~Q96FV9,NSP7,Q96FV9,Positive
ORF3B~P07947,ORF3B,P07947,Positive
M~P24666,M,P24666,Positive
ORF7B~Q9BXB4,ORF7B,Q9BXB4,Positive
ORF3A~O75509,ORF3A,O75509,Positive
NSP6~Q8WYP5,NSP6,Q8WYP5,Positive
NSP4~P29966,NSP4,P29966,Positive
ORF7B~Q5J8M3,ORF7B,Q5J8M3,Positive
NSP4~P41091,NSP4,P41091,Positive
ORF3B~Q13439,ORF3B,Q13439,Positive
NSP16~P28288,NSP16,P28288,Positive
ORF7A~P49069,ORF7A,P49069,Positive
ORF7B~O15118,ORF7B,O15118,Positive
ORF9B~O00170,ORF9B,O00170,Positive
ORF7A~Q99460,ORF7A,Q99460,Positive
M~P07737,M,P07737,Positive
NSP12~Q8TEP8,NSP12,Q8TEP8,Positive
NSP6~Q8IY17,NSP6,Q8IY17,Positive
ORF7A~P04035,ORF7A,P04035,Positive
ORF3A~Q99941,ORF3A,Q99941,Positive
ORF9B~O43837,ORF9B,O43837,Positive
NSP13~Q9NZ01,NSP13,Q9NZ01,Positive
ORF3A~P53992,ORF3A,P53992,Positive
E~Q9H6U8,E,Q9H6U8,Positive
ORF7B~P61006,ORF7B,P61006,Positive
ORF3B~Q8N1B4,ORF3B,Q8N1B4,Positive
N~Q93073,N,Q93073,Positive
M~Q9UBQ6,M,Q9UBQ6,Positive
ORF6~Q13526,ORF6,Q13526,Positive
M~Q9UPT5,M,Q9UPT5,Positive
M~P26374,M,P26374,Positive
ORF7B~Q04759,ORF7B,Q04759,Positive
ORF7A~Q9Y6A9,ORF7A,Q9Y6A9,Positive
NSP7~Q99567,NSP7,Q99567,Positive
NSP16~Q92990,NSP16,Q92990,Positive
NSP10~Q15654,NSP10,Q15654,Positive
NSP2~Q9UKB3,NSP2,Q9UKB3,Positive
M~P48163,M,P48163,Positive
M~P63000,M,P63000,Negative
NSP6~Q9Y6Q2,NSP6,Q9Y6Q2,Negative
NSP1~P23458,NSP1,P23458,Negative
NSP15~O94830,NSP15,O94830,Negative
NSP7~P84157,NSP7,P84157,Negative
ORF3A~O95905,ORF3A,O95905,Negative
NSP6~Q6ZUT9,NSP6,Q6ZUT9,Negative
ORF3B~P15153,ORF3B,P15153,Negative
NSP6~Q9Y5E7,NSP6,Q9Y5E7,Negative
NSP7~Q96HE9,NSP7,Q96HE9,Negative
NSP7~Q16584,NSP7,Q16584,Negative
NSP1~O75146,NSP1,O75146,Negative
M~Q68DI1,M,Q68DI1,Negative
NSP10~O75179,NSP10,O75179,Negative
E~Q9Y426,E,Q9Y426,Negative
N~Q99805,N,Q99805,Negative
S~Q8WVT3,S,Q8WVT3,Negative
NSP7~Q9BVK8,NSP7,Q9BVK8,Negative
NSP13~Q8IXK0,NSP13,Q8IXK0,Negative
E~Q86YA3,E,Q86YA3,Negative
NSP16~Q96HR9,NSP16,Q96HR9,Negative
NSP10~Q96II8,NSP10,Q96II8,Negative
N~Q9H2E6,N,Q9H2E6,Negative
S~Q8IXI1,S,Q8IXI1,Negative
ORF14~Q9P265,ORF14,Q9P265,Negative
ORF7A~Q9BUE6,ORF7A,Q9BUE6,Negative
E~Q3SXY8,E,Q3SXY8,Negative
NSP3~O00186,NSP3,O00186,Negative
NSP6~Q9UJV3,NSP6,Q9UJV3,Negative
ORF6~Q96N66,ORF6,Q96N66,Negative
M~Q03519,M,Q03519,Negative
ORF6~Q9H7B2,ORF6,Q9H7B2,Negative
ORF14~P30044,ORF14,P30044,Negative
E~Q9NRY5,E,Q9NRY5,Negative
NSP3~Q13492,NSP3,Q13492,Negative
E~Q9Y277,E,Q9Y277,Negative
NSP14~P62937,NSP14,P62937,Negative
E~Q8N0U8,E,Q8N0U8,Negative
NSP9~Q9BQ48,NSP9,Q9BQ48,Negative
ORF14~Q5XG99,ORF14,Q5XG99,Negative
M~Q99623,M,Q99623,Negative
ORF9B~Q9H3R5,ORF9B,Q9H3R5,Negative
NSP3~Q9UJU3,NSP3,Q9UJU3,Negative
NSP1~Q9H7D0,NSP1,Q9H7D0,Negative
NSP12~Q9NQX7,NSP12,Q9NQX7,Negative
E~Q9UN70,E,Q9UN70,Negative
NSP10~P20020,NSP10,P20020,Negative
NSP8~O75509,NSP8,O75509,Negative
ORF7A~Q07617,ORF7A,Q07617,Negative
NSP1~O75064,NSP1,O75064,Negative
NSP13~Q9UKG1,NSP13,Q9UKG1,Negative
ORF7B~Q6RW13,ORF7B,Q6RW13,Negative
NSP9~Q8NCG7,NSP9,Q8NCG7,Negative
NSP10~Q8TCD1,NSP10,Q8TCD1,Negative
ORF6~Q96CM8,ORF6,Q96CM8,Negative
ORF3A~Q5BJH7,ORF3A,Q5BJH7,Negative
NSP8~Q2NKX8,NSP8,Q2NKX8,Negative
NSP13~Q8TC12,NSP13,Q8TC12,Negative
NSP14~Q9H9B4,NSP14,Q9H9B4,Negative
NSP3~Q96JI7,NSP3,Q96JI7,Negative
NSP6~Q96IZ5,NSP6,Q96IZ5,Negative
NSP3~Q16864,NSP3,Q16864,Negative
NSP12~Q9NRW1,NSP12,Q9NRW1,Negative
ORF14~P48735,ORF14,P48735,Negative
NSP8~Q8IYD1,NSP8,Q8IYD1,Negative
ORF3B~Q17RS7,ORF3B,Q17RS7,Negative
NSP2~Q8N726,NSP2,Q8N726,Negative
M~Q5HYI8,M,Q5HYI8,Negative
ORF9B~Q96JH7,ORF9B,Q96JH7,Negative
NSP12~P61247,NSP12,P61247,Negative
NSP2~Q9Y606,NSP2,Q9Y606,Negative
NSP9~P61020,NSP9,P61020,Negative
ORF7B~Q02297,ORF7B,Q02297,Negative
NSP3~P46109,NSP3,P46109,Negative
NSP4~P29323,NSP4,P29323,Negative
ORF3B~Q8N5Y8,ORF3B,Q8N5Y8,Negative
NSP15~O15439,NSP15,O15439,Negative
ORF8~P62318,ORF8,P62318,Negative
NSP10~Q9UGH3,NSP10,Q9UGH3,Negative
NSP10~Q9BRJ2,NSP10,Q9BRJ2,Negative
NSP12~Q9Y394,NSP12,Q9Y394,Negative
NSP7~Q9H6S1,NSP7,Q9H6S1,Negative
NSP2~Q96CS2,NSP2,Q96CS2,Negative
NSP6~P07947,NSP6,P07947,Negative
ORF3A~Q96QF0,ORF3A,Q96QF0,Negative
NSP5~P55084,NSP5,P55084,Negative
NSP9~P51648,NSP9,P51648,Negative
M~Q86X10,M,Q86X10,Negative
ORF3B~Q9Y2T2,ORF3B,Q9Y2T2,Negative
NSP10~P78552,NSP10,P78552,Negative
NSP9~Q6AZY7,NSP9,Q6AZY7,Negative
ORF14~O95297,ORF14,O95297,Negative
NSP4~P51648,NSP4,P51648,Negative
M~Q9NZJ4,M,Q9NZJ4,Negative
ORF9B~P17066,ORF9B,P17066,Negative
ORF7A~Q9NVH0,ORF7A,Q9NVH0,Negative
E~O14980,E,O14980,Negative
NSP16~Q9NR28,NSP16,Q9NR28,Negative
ORF7A~Q86YA3,ORF7A,Q86YA3,Negative
NSP1~Q13439,NSP1,Q13439,Negative
ORF3B~P49006,ORF3B,P49006,Negative
ORF7A~Q96RL7,ORF7A,Q96RL7,Negative
NSP7~Q96T83,NSP7,Q96T83,Negative
NSP10~Q9NV96,NSP10,Q9NV96,Negative
NSP1~O76080,NSP1,O76080,Negative
ORF7A~O94986,ORF7A,O94986,Negative
NSP1~Q96AG4,NSP1,Q96AG4,Negative
NSP13~P12694,NSP13,P12694,Negative
NSP4~P48029,NSP4,P48029,Negative
NSP3~Q86YA3,NSP3,Q86YA3,Negative
NSP6~Q53EZ4,NSP6,Q53EZ4,Negative
ORF3B~Q12815,ORF3B,Q12815,Negative
ORF14~O75179,ORF14,O75179,Negative
NSP3~Q14573,NSP3,Q14573,Negative
NSP7~O15027,NSP7,O15027,Negative
NSP4~Q9ULK5,NSP4,Q9ULK5,Negative
E~Q99697,E,Q99697,Negative
NSP16~Q9H269,NSP16,Q9H269,Negative
NSP5~Q9H8Y8,NSP5,Q9H8Y8,Negative
NSP5~P11441,NSP5,P11441,Negative
ORF3A~Q9NV64,ORF3A,Q9NV64,Negative
N~Q5JTD0,N,Q5JTD0,Negative
NSP5~O95070,NSP5,O95070,Negative
ORF8~Q9H9T3,ORF8,Q9H9T3,Negative
ORF3A~P78504,ORF3A,P78504,Negative
NSP2~P60842,NSP2,P60842,Negative
ORF3B~O60353,ORF3B,O60353,Negative
S~Q15842,S,Q15842,Negative
ORF8~Q99959,ORF8,Q99959,Negative
NSP16~Q03135,NSP16,Q03135,Negative
NSP9~Q6P158,NSP9,Q6P158,Negative
NSP3~O75298,NSP3,O75298,Negative
ORF7A~Q9H6H4,ORF7A,Q9H6H4,Negative
NSP16~Q96EM0,NSP16,Q96EM0,Negative
N~Q9H1E5,N,Q9H1E5,Negative
M~Q9H3N1,M,Q9H3N1,Negative
ORF14~Q49A26,ORF14,Q49A26,Negative
NSP7~P30530,NSP7,P30530,Negative
N~Q9H1A4,N,Q9H1A4,Negative
N~O15033,N,O15033,Negative
ORF3B~O95071,ORF3B,O95071,Negative
ORF8~O43837,ORF8,O43837,Negative
NSP13~Q8WUA7,NSP13,Q8WUA7,Negative
NSP4~P42765,NSP4,P42765,Negative
NSP15~Q15477,NSP15,Q15477,Negative
NSP1~Q9H270,NSP1,Q9H270,Negative
NSP16~O14734,NSP16,O14734,Negative
NSP12~O15173,NSP12,O15173,Negative
N~Q05048,N,Q05048,Negative
E~Q9P2K1,E,Q9P2K1,Negative
NSP2~Q68BL7,NSP2,Q68BL7,Negative
ORF8~Q13217,ORF8,Q13217,Negative
NSP10~P48735,NSP10,P48735,Negative
ORF6~Q9H8W4,ORF6,Q9H8W4,Negative
NSP7~Q9HDC5,NSP7,Q9HDC5,Negative
NSP16~Q05193,NSP16,Q05193,Negative
N~Q15750,N,Q15750,Negative
ORF6~Q9C0C4,ORF6,Q9C0C4,Negative
NSP10~Q96RU3,NSP10,Q96RU3,Negative
ORF9B~Q8N2H3,ORF9B,Q8N2H3,Negative
NSP6~Q92685,NSP6,Q92685,Negative
NSP13~Q9Y2Q5,NSP13,Q9Y2Q5,Negative
ORF6~A8CG34,ORF6,A8CG34,Negative
NSP5~P60520,NSP5,P60520,Negative
NSP13~Q9NZU0,NSP13,Q9NZU0,Negative
NSP9~Q9Y6I9,NSP9,Q9Y6I9,Negative
NSP13~O15400,NSP13,O15400,Negative
NSP13~Q2NKX8,NSP13,Q2NKX8,Negative
ORF3A~Q9H496,ORF3A,Q9H496,Negative
ORF7B~Q9UBH6,ORF7B,Q9UBH6,Negative
NSP16~P07858,NSP16,P07858,Negative
NSP9~P02786,NSP9,P02786,Negative
NSP10~Q9UKG1,NSP10,Q9UKG1,Negative
ORF3A~P34897,ORF3A,P34897,Negative
NSP15~P46109,NSP15,P46109,Negative
NSP6~Q86YD5,NSP6,Q86YD5,Negative
NSP5~O75955,NSP5,O75955,Negative
NSP8~Q9GZQ3,NSP8,Q9GZQ3,Negative
S~Q8NI17,S,Q8NI17,Negative
S~Q9NUQ6,S,Q9NUQ6,Negative
NSP6~P05023,NSP6,P05023,Negative
NSP4~O76021,NSP4,O76021,Negative
NSP1~Q9UBI1,NSP1,Q9UBI1,Negative
NSP2~Q96PU5,NSP2,Q96PU5,Negative
NSP9~P67812,NSP9,P67812,Negative
NSP1~P10321,NSP1,P10321,Negative
ORF3A~Q96EM0,ORF3A,Q96EM0,Negative
ORF8~Q96JJ7,ORF8,Q96JJ7,Negative
NSP1~Q9BRP4,NSP1,Q9BRP4,Negative
NSP14~Q8TD10,NSP14,Q8TD10,Negative
M~P51148,M,P51148,Negative
ORF8~Q8NFJ5,ORF8,Q8NFJ5,Negative
NSP4~Q9BVM2,NSP4,Q9BVM2,Negative
ORF9B~P42166,ORF9B,P42166,Negative
NSP15~Q15382,NSP15,Q15382,Negative
ORF3B~Q9BX95,ORF3B,Q9BX95,Negative
S~P19367,S,P19367,Negative
NSP6~Q86US8,NSP6,Q86US8,Negative
ORF7A~Q15750,ORF7A,Q15750,Negative
NSP9~Q13232,NSP9,Q13232,Negative
NSP7~P48449,NSP7,P48449,Negative
ORF7A~Q969N2,ORF7A,Q969N2,Negative
N~Q9NQQ7,N,Q9NQQ7,Negative
ORF14~Q9BXF6,ORF14,Q9BXF6,Negative
NSP15~P62987,NSP15,P62987,Negative
