PPI,viral_prot,host_prot,class
N~O14979,N,O14979,Positive
ORF9C~Q92621,ORF9C,Q92621,Positive
NSP2~Q15050,NSP2,Q15050,Positive
S~P41743,S,P41743,Positive
NSP1~Q99959,NSP1,Q99959,Positive
M~P40189,M,P40189,Positive
ORF3A~O95208,ORF3A,O95208,Positive
N~O43583,N,O43583,Positive
NSP4~Q04656,NSP4,Q04656,Positive
ORF3B~P49257,ORF3B,P49257,Positive
NSP12~O60826,NSP12,O60826,Positive
NSP6~Q96KA5,NSP6,Q96KA5,Positive
E~P51148,E,P51148,Positive
ORF7B~Q96EX1,ORF7B,Q96EX1,Positive
NSP13~Q01850,NSP13,Q01850,Positive
N~P50479,N,P50479,Positive
M~Q9UI26,M,Q9UI26,Positive
M~Q5K4L6,M,Q5K4L6,Positive
NSP4~O14523,NSP4,O14523,Positive
ORF3A~Q9NXE4,ORF3A,Q9NXE4,Positive
ORF7B~P10586,ORF7B,P10586,Positive
ORF3A~P07237,ORF3A,P07237,Positive
M~Q9BV23,M,Q9BV23,Positive
M~P11498,M,P11498,Positive
NSP7~O95071,NSP7,O95071,Positive
ORF3B~Q9NRW1,ORF3B,Q9NRW1,Positive
ORF10~Q9Y2S6,ORF10,Q9Y2S6,Positive
ORF3A~Q6PKC3,ORF3A,Q6PKC3,Positive
E~O60487,E,O60487,Positive
ORF3A~Q9ULF5,ORF3A,Q9ULF5,Positive
NSP15~P61758,NSP15,P61758,Positive
NSP6~O95070,NSP6,O95070,Positive
ORF6~O15155,ORF6,O15155,Positive
ORF14~Q8NHQ9,ORF14,Q8NHQ9,Positive
ORF7B~P07948,ORF7B,P07948,Positive
ORF7B~Q96G97,ORF7B,Q96G97,Positive
ORF7A~Q9BTV4,ORF7A,Q9BTV4,Positive
ORF9C~Q8IXI1,ORF9C,Q8IXI1,Positive
NSP5~O75915,NSP5,O75915,Positive
S~Q86YD5,S,Q86YD5,Positive
ORF7B~O43765,ORF7B,O43765,Positive
NSP4~Q92574,NSP4,Q92574,Positive
M~Q9NU19,M,Q9NU19,Positive
ORF7B~Q9UEY8,ORF7B,Q9UEY8,Positive
NSP16~O75122,NSP16,O75122,Positive
NSP6~Q96N46,NSP6,Q96N46,Positive
NSP4~O95476,NSP4,O95476,Positive
ORF3A~O60503,ORF3A,O60503,Positive
ORF3A~O43402,ORF3A,O43402,Positive
M~Q14257,M,Q14257,Positive
NSP13~P37108,NSP13,P37108,Positive
NSP8~P09936,NSP8,P09936,Positive
ORF3A~Q9Y2L5,ORF3A,Q9Y2L5,Positive
NSP4~Q8IV08,NSP4,Q8IV08,Positive
ORF8~Q9H6U8,ORF8,Q9H6U8,Positive
ORF7B~Q14139,ORF7B,Q14139,Positive
M~P17706,M,P17706,Positive
ORF3A~P61764,ORF3A,P61764,Positive
NSP4~Q9HB20,NSP4,Q9HB20,Positive
NSP4~Q7L5A8,NSP4,Q7L5A8,Positive
NSP14~Q2TAY7,NSP14,Q2TAY7,Positive
NSP5~P61313,NSP5,P61313,Positive
NSP12~Q96C34,NSP12,Q96C34,Positive
M~Q8IZJ1,M,Q8IZJ1,Positive
NSP8~Q93084,NSP8,Q93084,Positive
NSP16~Q567U6,NSP16,Q567U6,Positive
ORF6~O94901,ORF6,O94901,Positive
NSP13~Q02543,NSP13,Q02543,Positive
ORF7A~Q6UXM1,ORF7A,Q6UXM1,Positive
ORF7B~Q96BY9,ORF7B,Q96BY9,Positive
ORF7A~Q6P1M0,ORF7A,Q6P1M0,Positive
NSP13~P46977,NSP13,P46977,Positive
ORF7B~O43570,ORF7B,O43570,Positive
NSP4~Q9NVN8,NSP4,Q9NVN8,Positive
ORF3B~P10606,ORF3B,P10606,Positive
ORF7B~Q14789,ORF7B,Q14789,Positive
E~Q70UQ0,E,Q70UQ0,Positive
ORF9B~P62491,ORF9B,P62491,Positive
ORF7B~Q8IVQ6,ORF7B,Q8IVQ6,Positive
ORF7A~Q8TCD1,ORF7A,Q8TCD1,Positive
ORF3B~Q9NP61,ORF3B,Q9NP61,Positive
ORF7B~Q96D31,ORF7B,Q96D31,Positive
ORF7A~Q9H6U8,ORF7A,Q9H6U8,Positive
ORF7B~P48651,ORF7B,P48651,Positive
S~Q9H269,S,Q9H269,Positive
M~Q10570,M,Q10570,Positive
ORF7A~P36383,ORF7A,P36383,Positive
M~P11766,M,P11766,Positive
ORF7A~Q9UJW0,ORF7A,Q9UJW0,Positive
M~Q92870,M,Q92870,Positive
NSP9~Q8TCN5,NSP9,Q8TCN5,Positive
E~P62314,E,P62314,Positive
ORF14~Q8TDN6,ORF14,Q8TDN6,Positive
NSP6~P53396,NSP6,P53396,Positive
ORF3B~Q8IYS2,ORF3B,Q8IYS2,Positive
NSP4~Q96TC7,NSP4,Q96TC7,Positive
ORF6~Q9HBI6,ORF6,Q9HBI6,Positive
NSP4~Q9NXC2,NSP4,Q9NXC2,Positive
S~Q14166,S,Q14166,Positive
NSP4~Q96J02,NSP4,Q96J02,Positive
NSP6~Q14534,NSP6,Q14534,Positive
E~Q9BXB1,E,Q9BXB1,Positive
ORF14~Q7L5A8,ORF14,Q7L5A8,Positive
NSP5~P12931,NSP5,P12931,Positive
NSP6~P23141,NSP6,P23141,Positive
M~Q14573,M,Q14573,Positive
NSP2~Q13884,NSP2,Q13884,Positive
M~P50542,M,P50542,Positive
M~P04844,M,P04844,Positive
S~Q9NV96,S,Q9NV96,Positive
ORF7A~Q96CS3,ORF7A,Q96CS3,Positive
NSP3~Q86UK7,NSP3,Q86UK7,Positive
ORF3A~Q15836,ORF3A,Q15836,Positive
ORF7B~Q9NVJ2,ORF7B,Q9NVJ2,Positive
ORF7A~Q96HE9,ORF7A,Q96HE9,Positive
E~O14662,E,O14662,Positive
NSP16~Q96AY4,NSP16,Q96AY4,Positive
ORF7B~Q8NEW0,ORF7B,Q8NEW0,Positive
NSP3~Q86XL3,NSP3,Q86XL3,Positive
NSP6~O75460,NSP6,O75460,Positive
NSP15~Q92540,NSP15,Q92540,Positive
ORF9C~Q9HD45,ORF9C,Q9HD45,Positive
ORF7B~Q8NBX0,ORF7B,Q8NBX0,Positive
M~O15173,M,O15173,Positive
ORF7B~Q9BZG1,ORF7B,Q9BZG1,Positive
ORF7B~P0DI83,ORF7B,P0DI83,Positive
ORF6~O95208,ORF6,O95208,Positive
ORF7B~Q9H1C4,ORF7B,Q9H1C4,Positive
ORF6~Q96CS2,ORF6,Q96CS2,Positive
ORF7A~A2RRP1,ORF7A,A2RRP1,Positive
ORF7A~Q8IWJ2,ORF7A,Q8IWJ2,Positive
ORF6~Q3ZAQ7,ORF6,Q3ZAQ7,Positive
ORF7A~O43684,ORF7A,O43684,Positive
NSP2~Q96K76,NSP2,Q96K76,Positive
ORF7B~O00400,ORF7B,O00400,Positive
ORF3B~Q9ULK5,ORF3B,Q9ULK5,Positive
NSP12~Q13625,NSP12,Q13625,Positive
NSP6~Q9HD45,NSP6,Q9HD45,Positive
ORF8~Q5JRX3,ORF8,Q5JRX3,Positive
ORF7B~Q7Z7G8,ORF7B,Q7Z7G8,Positive
NSP4~Q96JJ7,NSP4,Q96JJ7,Positive
ORF7B~Q9BRF8,ORF7B,Q9BRF8,Positive
NSP6~Q99623,NSP6,Q99623,Positive
NSP6~Q96ES6,NSP6,Q96ES6,Positive
NSP2~Q17RS7,NSP2,Q17RS7,Positive
E~P04899,E,P04899,Positive
ORF8~Q6PJF5,ORF8,Q6PJF5,Positive
NSP8~Q15751,NSP8,Q15751,Positive
ORF9B~P23526,ORF9B,P23526,Positive
ORF7A~Q9Y6M7,ORF7A,Q9Y6M7,Positive
NSP6~Q9H3P7,NSP6,Q9H3P7,Positive
ORF7B~Q8WYP5,ORF7B,Q8WYP5,Positive
ORF3A~Q9P265,ORF3A,Q9P265,Positive
N~Q8WVM0,N,Q8WVM0,Positive
M~P61224,M,P61224,Positive
NSP12~Q9UBM7,NSP12,Q9UBM7,Positive
NSP7~Q2KHR3,NSP7,Q2KHR3,Positive
M~Q15165,M,Q15165,Positive
N~Q53EP0,N,Q53EP0,Positive
E~Q6PJF5,E,Q6PJF5,Positive
NSP16~Q9C0H5,NSP16,Q9C0H5,Positive
ORF7B~O43684,ORF7B,O43684,Positive
NSP6~Q8N0U8,NSP6,Q8N0U8,Positive
E~Q15629,E,Q15629,Positive
ORF7B~Q8WXA3,ORF7B,Q8WXA3,Positive
NSP9~P78316,NSP9,P78316,Positive
ORF8~Q8N5K1,ORF8,Q8N5K1,Positive
NSP6~P61619,NSP6,P61619,Positive
NSP7~Q9H0B6,NSP7,Q9H0B6,Positive
S~Q9UHE8,S,Q9UHE8,Positive
ORF8~P80303,ORF8,P80303,Positive
ORF6~O75616,ORF6,O75616,Positive
NSP2~O43795,NSP2,O43795,Positive
NSP12~Q8IVD9,NSP12,Q8IVD9,Positive
NSP6~Q7Z402,NSP6,Q7Z402,Positive
NSP7~Q9UKT4,NSP7,Q9UKT4,Positive
NSP10~Q9NRN7,NSP10,Q9NRN7,Positive
ORF14~Q92545,ORF14,Q92545,Positive
ORF7B~O95150,ORF7B,O95150,Positive
ORF3A~Q9NRG9,ORF3A,Q9NRG9,Positive
M~Q13439,M,Q13439,Positive
ORF14~Q14318,ORF14,Q14318,Positive
ORF3A~Q3SXY8,ORF3A,Q3SXY8,Positive
ORF7B~Q12959,ORF7B,Q12959,Positive
NSP4~P33992,NSP4,P33992,Positive
N~P48556,N,P48556,Positive
NSP3~Q5HYK7,NSP3,Q5HYK7,Positive
NSP7~Q96FC9,NSP7,Q96FC9,Positive
ORF7B~O15554,ORF7B,O15554,Positive
ORF8~P19634,ORF8,P19634,Positive
NSP12~O15259,NSP12,O15259,Positive
ORF10~P62269,ORF10,P62269,Positive
ORF6~Q14139,ORF6,Q14139,Positive
E~Q99460,E,Q99460,Positive
S~P11166,S,P11166,Positive
ORF7B~Q7L5A8,ORF7B,Q7L5A8,Positive
ORF7B~Q14118,ORF7B,Q14118,Positive
NSP6~A0FGR8,NSP6,A0FGR8,Positive
ORF9B~Q13526,ORF9B,Q13526,Positive
ORF10~O60925,ORF10,O60925,Positive
ORF9B~Q9Y2R5,ORF9B,Q9Y2R5,Positive
ORF8~Q9NYJ8,ORF8,Q9NYJ8,Positive
NSP6~P53621,NSP6,P53621,Positive
NSP9~Q9UMY1,NSP9,Q9UMY1,Positive
ORF7B~O95159,ORF7B,O95159,Positive
ORF8~P27708,ORF8,P27708,Positive
M~Q96QK1,M,Q96QK1,Positive
NSP2~O00264,NSP2,O00264,Positive
ORF9B~P60981,ORF9B,P60981,Positive
NSP6~O75674,NSP6,O75674,Positive
M~Q9NTJ5,M,Q9NTJ5,Positive
ORF3A~Q86Y82,ORF3A,Q86Y82,Positive
ORF7A~P04844,ORF7A,P04844,Positive
NSP6~P33527,NSP6,P33527,Positive
NSP15~Q6P2H3,NSP15,Q6P2H3,Positive
ORF6~Q15276,ORF6,Q15276,Positive
ORF8~Q9BRK5,ORF8,Q9BRK5,Positive
NSP3~Q8NI17,NSP3,Q8NI17,Positive
NSP6~Q9BWL3,NSP6,Q9BWL3,Positive
NSP12~P53804,NSP12,P53804,Positive
NSP9~Q9NVR5,NSP9,Q9NVR5,Positive
NSP6~Q8NBN3,NSP6,Q8NBN3,Positive
NSP4~P13667,NSP4,P13667,Positive
ORF3B~P23396,ORF3B,P23396,Positive
ORF9B~Q6PML9,ORF9B,Q6PML9,Positive
M~P18084,M,P18084,Positive
ORF9B~Q99623,ORF9B,Q99623,Positive
E~Q9H1E5,E,Q9H1E5,Positive
NSP13~P63167,NSP13,P63167,Positive
ORF10~P49189,ORF10,P49189,Positive
NSP13~P42677,NSP13,P42677,Positive
ORF7B~O75110,ORF7B,O75110,Positive
ORF8~P05997,ORF8,P05997,Positive
ORF14~Q93074,ORF14,Q93074,Positive
S~Q9ULK5,S,Q9ULK5,Positive
NSP6~O60503,NSP6,O60503,Positive
ORF3B~O60488,ORF3B,O60488,Positive
NSP2~P23677,NSP2,P23677,Positive
M~Q9ULC3,M,Q9ULC3,Positive
E~P49069,E,P49069,Positive
NSP4~Q9NP61,NSP4,Q9NP61,Positive
NSP4~Q9P2W9,NSP4,Q9P2W9,Positive
E~Q5JRA6,E,Q5JRA6,Positive
NSP3~Q16254,NSP3,Q16254,Positive
NSP12~Q8NDV7,NSP12,Q8NDV7,Positive
M~Q9HC07,M,Q9HC07,Positive
ORF6~P27105,ORF6,P27105,Positive
ORF6~Q9UH62,ORF6,Q9UH62,Positive
ORF3B~Q9UHA4,ORF3B,Q9UHA4,Positive
ORF14~Q9NVU7,ORF14,Q9NVU7,Positive
N~O00571,N,O00571,Positive
M~Q14699,M,Q14699,Positive
NSP9~Q9BTD8,NSP9,Q9BTD8,Positive
ORF7B~O75674,ORF7B,O75674,Positive
NSP11~O95155,NSP11,O95155,Positive
ORF6~Q9HAS0,ORF6,Q9HAS0,Positive
N~O75179,N,O75179,Positive
S~P80723,S,P80723,Positive
NSP6~O75396,NSP6,O75396,Positive
ORF8~P0CG13,ORF8,P0CG13,Positive
NSP3~O15269,NSP3,O15269,Positive
NSP15~Q9NYV4,NSP15,Q9NYV4,Positive
ORF8~O14653,ORF8,O14653,Positive
NSP13~Q8N3C7,NSP13,Q8N3C7,Positive
N~O15226,N,O15226,Positive
NSP4~Q07065,NSP4,Q07065,Positive
ORF7B~Q13438,ORF7B,Q13438,Positive
M~Q8TEW0,M,Q8TEW0,Positive
ORF6~Q5BJH7,ORF6,Q5BJH7,Positive
ORF8~Q6NUQ4,ORF8,Q6NUQ4,Positive
NSP2~Q02413,NSP2,Q02413,Positive
NSP4~P17858,NSP4,P17858,Positive
NSP10~Q14149,NSP10,Q14149,Positive
ORF6~P62829,ORF6,P62829,Positive
NSP3~O60566,NSP3,O60566,Positive
NSP4~P62888,NSP4,P62888,Positive
NSP5~Q8N2W9,NSP5,Q8N2W9,Positive
ORF7B~P78382,ORF7B,P78382,Positive
NSP9~P23497,NSP9,P23497,Positive
NSP9~Q9BY77,NSP9,Q9BY77,Positive
ORF6~Q9Y2S7,ORF6,Q9Y2S7,Positive
M~P11172,M,P11172,Positive
N~P78316,N,P78316,Positive
ORF7B~Q00796,ORF7B,Q00796,Positive
NSP4~Q9Y2H6,NSP4,Q9Y2H6,Positive
ORF7B~O75197,ORF7B,O75197,Positive
M~Q9UNS1,M,Q9UNS1,Positive
ORF3A~P30533,ORF3A,P30533,Positive
ORF3B~O95185,ORF3B,O95185,Positive
ORF6~P42765,ORF6,P42765,Positive
ORF3A~Q9P0L2,ORF3A,Q9P0L2,Positive
ORF8~P35610,ORF8,P35610,Positive
NSP6~Q07021,NSP6,Q07021,Positive
ORF7B~Q03519,ORF7B,Q03519,Positive
ORF14~Q9Y3A4,ORF14,Q9Y3A4,Positive
ORF3B~P55786,ORF3B,P55786,Positive
NSP6~P36956,NSP6,P36956,Positive
ORF3B~Q6BDS2,ORF3B,Q6BDS2,Positive
NSP6~Q15070,NSP6,Q15070,Positive
ORF7A~O95487,ORF7A,O95487,Positive
NSP13~Q9BXT6,NSP13,Q9BXT6,Positive
M~O95816,M,O95816,Positive
ORF7B~Q9P0T7,ORF7B,Q9P0T7,Positive
NSP8~Q4G0J3,NSP8,Q4G0J3,Positive
NSP4~P05198,NSP4,P05198,Positive
ORF3B~Q6ZXV5,ORF3B,Q6ZXV5,Positive
E~Q9NXW2,E,Q9NXW2,Positive
M~Q9UKG1,M,Q9UKG1,Positive
ORF3A~Q9Y2H6,ORF3A,Q9Y2H6,Positive
ORF7A~Q7KZN9,ORF7A,Q7KZN9,Positive
NSP13~Q86UU1,NSP13,Q86UU1,Positive
NSP8~Q9UHV7,NSP8,Q9UHV7,Positive
NSP12~Q86YR5,NSP12,Q86YR5,Positive
E~Q13563,E,Q13563,Positive
ORF6~P40939,ORF6,P40939,Positive
NSP15~Q96HP0,NSP15,Q96HP0,Positive
NSP2~Q86WP2,NSP2,Q86WP2,Positive
NSP4~P29320,NSP4,P29320,Positive
NSP6~Q9C091,NSP6,Q9C091,Positive
E~Q53EP0,E,Q53EP0,Positive
N~Q5F1R6,N,Q5F1R6,Positive
N~Q08211,N,Q08211,Positive
ORF3A~P60520,ORF3A,P60520,Positive
N~Q9UII4,N,Q9UII4,Positive
M~P00491,M,P00491,Positive
ORF8~P63000,ORF8,P63000,Positive
ORF3A~Q7Z2K8,ORF3A,Q7Z2K8,Positive
NSP16~P35222,NSP16,P35222,Positive
ORF8~Q9UGP8,ORF8,Q9UGP8,Positive
M~O43251,M,O43251,Positive
E~O60906,E,O60906,Positive
E~Q16799,E,Q16799,Positive
NSP4~P26373,NSP4,P26373,Positive
NSP4~Q9Y6M7,NSP4,Q9Y6M7,Positive
ORF8~O00115,ORF8,O00115,Positive
M~O14967,M,O14967,Positive
NSP7~Q99829,NSP7,Q99829,Positive
NSP7~Q9NSK0,NSP7,Q9NSK0,Positive
ORF3B~Q9NR30,ORF3B,Q9NR30,Positive
NSP6~Q9BX95,NSP6,Q9BX95,Positive
M~Q7Z698,M,Q7Z698,Positive
ORF7B~P19075,ORF7B,P19075,Positive
NSP6~O95831,NSP6,O95831,Positive
NSP6~P30519,NSP6,P30519,Positive
ORF3B~O43396,ORF3B,O43396,Positive
ORF7A~Q9H9E3,ORF7A,Q9H9E3,Positive
NSP12~P07195,NSP12,P07195,Positive
ORF8~P54802,ORF8,P54802,Positive
NSP16~Q504Q3,NSP16,Q504Q3,Positive
NSP4~P55884,NSP4,P55884,Positive
S~P46977,S,P46977,Positive
ORF6~Q9BSJ5,ORF6,Q9BSJ5,Positive
ORF3A~P60880,ORF3A,P60880,Positive
ORF14~Q8NHP6,ORF14,Q8NHP6,Positive
ORF7B~Q99943,ORF7B,Q99943,Positive
ORF7B~P54652,ORF7B,P54652,Positive
E~Q71UM5,E,Q71UM5,Positive
ORF7B~P40189,ORF7B,P40189,Positive
NSP4~O94806,NSP4,O94806,Positive
ORF3B~Q01973,ORF3B,Q01973,Positive
NSP6~Q92604,NSP6,Q92604,Positive
NSP8~Q92614,NSP8,Q92614,Positive
E~Q8N511,E,Q8N511,Positive
M~P68104,M,P68104,Positive
S~Q96QD8,S,Q96QD8,Positive
S~P49069,S,P49069,Positive
ORF8~P12109,ORF8,P12109,Positive
NSP2~Q96SB4,NSP2,Q96SB4,Positive
M~P12931,M,P12931,Positive
NSP8~Q7KZF4,NSP8,Q7KZF4,Positive
ORF6~Q86XL3,ORF6,Q86XL3,Positive
ORF6~Q86TI2,ORF6,Q86TI2,Positive
E~P22087,E,P22087,Positive
M~Q8IZE3,M,Q8IZE3,Positive
ORF8~Q96JB5,ORF8,Q96JB5,Positive
NSP8~P51587,NSP8,P51587,Positive
NSP4~Q75V66,NSP4,Q75V66,Positive
NSP6~Q9Y320,NSP6,Q9Y320,Positive
NSP16~Q8N1B4,NSP16,Q8N1B4,Positive
NSP6~P35606,NSP6,P35606,Positive
ORF3A~Q9Y2H0,ORF3A,Q9Y2H0,Positive
ORF7B~Q15363,ORF7B,Q15363,Positive
ORF7B~Q15334,ORF7B,Q15334,Positive
NSP4~Q9Y2R5,NSP4,Q9Y2R5,Positive
NSP13~Q9BQ48,NSP13,Q9BQ48,Positive
NSP6~Q92859,NSP6,Q92859,Positive
ORF7A~P08581,ORF7A,P08581,Positive
ORF7B~Q8NB49,ORF7B,Q8NB49,Positive
NSP4~P31644,NSP4,P31644,Positive
NSP6~P50502,NSP6,P50502,Positive
M~Q96RD7,M,Q96RD7,Positive
NSP6~P62854,NSP6,P62854,Positive
ORF7A~O96008,ORF7A,O96008,Positive
ORF7B~Q8WUK0,ORF7B,Q8WUK0,Positive
ORF3A~Q86VS8,ORF3A,Q86VS8,Positive
NSP6~O15270,NSP6,O15270,Positive
E~Q92535,E,Q92535,Positive
M~O60831,M,O60831,Positive
N~P49841,N,P49841,Positive
ORF9B~Q9UK73,ORF9B,Q9UK73,Positive
NSP4~Q9H267,NSP4,Q9H267,Positive
E~Q15436,E,Q15436,Positive
ORF7B~O14595,ORF7B,O14595,Positive
N~Q8N999,N,Q8N999,Positive
ORF7B~Q9H2C2,ORF7B,Q9H2C2,Positive
ORF3A~Q8N3F8,ORF3A,Q8N3F8,Positive
ORF9B~Q00796,ORF9B,Q00796,Positive
NSP6~P40616,NSP6,P40616,Positive
NSP7~Q9Y230,NSP7,Q9Y230,Positive
NSP6~Q92747,NSP6,Q92747,Positive
ORF7B~Q86VZ5,ORF7B,Q86VZ5,Positive
NSP4~Q9UNL2,NSP4,Q9UNL2,Positive
NSP15~Q9NQP4,NSP15,Q9NQP4,Positive
NSP7~Q8N5D0,NSP7,Q8N5D0,Positive
ORF9C~Q13423,ORF9C,Q13423,Positive
NSP9~P37198,NSP9,P37198,Positive
NSP4~Q7Z7G8,NSP4,Q7Z7G8,Positive
NSP6~Q9BXB4,NSP6,Q9BXB4,Positive
ORF7A~P40429,ORF7A,P40429,Positive
ORF7A~Q9P2E9,ORF7A,Q9P2E9,Positive
M~P18124,M,P18124,Positive
S~O75436,S,O75436,Positive
NSP6~Q96A49,NSP6,Q96A49,Positive
ORF6~P62753,ORF6,P62753,Positive
ORF8~Q9H8Y8,ORF8,Q9H8Y8,Positive
ORF3A~Q5JTV8,ORF3A,Q5JTV8,Positive
NSP2~Q7L8J4,NSP2,Q7L8J4,Positive
NSP4~Q30201,NSP4,Q30201,Positive
ORF6~Q9Y5K3,ORF6,Q9Y5K3,Positive
NSP12~Q02543,NSP12,Q02543,Positive
ORF9C~Q643R3,ORF9C,Q643R3,Positive
M~O75695,M,O75695,Positive
E~Q96FL8,E,Q96FL8,Positive
E~Q9H8Y8,E,Q9H8Y8,Positive
ORF7B~Q8TDX6,ORF7B,Q8TDX6,Positive
NSP6~Q9Y5Y0,NSP6,Q9Y5Y0,Positive
NSP4~Q8IW92,NSP4,Q8IW92,Positive
ORF3A~Q5T2W1,ORF3A,Q5T2W1,Positive
ORF14~Q96FF9,ORF14,Q96FF9,Positive
NSP10~Q9NR28,NSP10,Q9NR28,Positive
NSP6~Q5SNT2,NSP6,Q5SNT2,Positive
ORF7B~Q9NUQ7,ORF7B,Q9NUQ7,Positive
ORF3A~Q96SK2,ORF3A,Q96SK2,Positive
NSP3~Q9Y277,NSP3,Q9Y277,Positive
ORF7A~Q9NP72,ORF7A,Q9NP72,Positive
NSP15~Q8N1I0,NSP15,Q8N1I0,Positive
E~P11441,E,P11441,Positive
NSP12~Q9H0L4,NSP12,Q9H0L4,Positive
ORF8~O75581,ORF8,O75581,Positive
ORF7A~Q96TC7,ORF7A,Q96TC7,Positive
ORF8~Q8IWB1,ORF8,Q8IWB1,Positive
M~Q96EE3,M,Q96EE3,Positive
ORF3A~Q9Y5B9,ORF3A,Q9Y5B9,Positive
NSP7~Q9Y3Q8,NSP7,Q9Y3Q8,Positive
ORF6~Q9NZ01,ORF6,Q9NZ01,Positive
ORF3A~Q9H3N1,ORF3A,Q9H3N1,Positive
M~Q9H2V7,M,Q9H2V7,Positive
E~O43615,E,O43615,Positive
NSP4~O95864,NSP4,O95864,Positive
M~Q9H4M9,M,Q9H4M9,Positive
ORF3A~P16615,ORF3A,P16615,Positive
M~O60499,M,O60499,Positive
ORF8~Q6ZMP0,ORF8,Q6ZMP0,Positive
ORF8~P51572,ORF8,P51572,Positive
NSP4~Q8WVP7,NSP4,Q8WVP7,Positive
M~P52429,M,P52429,Positive
ORF7A~Q5JS37,ORF7A,Q5JS37,Positive
NSP6~Q96K49,NSP6,Q96K49,Positive
ORF7B~Q14318,ORF7B,Q14318,Positive
ORF3A~Q96KC8,ORF3A,Q96KC8,Positive
ORF7A~P43003,ORF7A,P43003,Positive
ORF6~P46781,ORF6,P46781,Positive
ORF7A~Q969X5,ORF7A,Q969X5,Positive
ORF3A~Q16880,ORF3A,Q16880,Positive
M~Q12959,M,Q12959,Positive
M~Q07021,M,Q07021,Positive
M~O43765,M,O43765,Positive
ORF3A~P51148,ORF3A,P51148,Positive
ORF7A~Q96CW1,ORF7A,Q96CW1,Positive
NSP6~Q14571,NSP6,Q14571,Positive
N~O00425,N,O00425,Positive
NSP6~Q06481,NSP6,Q06481,Positive
N~Q13283,N,Q13283,Positive
ORF8~P48730,ORF8,P48730,Positive
ORF14~Q9H3N1,ORF14,Q9H3N1,Positive
NSP14~P27708,NSP14,P27708,Positive
ORF7B~Q6P996,ORF7B,Q6P996,Positive
S~O14936,S,O14936,Positive
NSP13~Q69YQ0,NSP13,Q69YQ0,Positive
NSP13~Q5SRE5,NSP13,Q5SRE5,Positive
M~O60266,M,O60266,Positive
NSP6~P50416,NSP6,P50416,Positive
ORF7A~Q9UFG5,ORF7A,Q9UFG5,Positive
NSP15~Q06323,NSP15,Q06323,Positive
ORF14~O60281,ORF14,O60281,Positive
ORF3A~Q86X29,ORF3A,Q86X29,Positive
ORF7A~P50402,ORF7A,P50402,Positive
ORF9B~Q8IUC6,ORF9B,Q8IUC6,Positive
M~P11441,M,P11441,Positive
NSP7~Q9Y485,NSP7,Q9Y485,Positive
ORF14~Q9UHA3,ORF14,Q9UHA3,Positive
ORF8~P23229,ORF8,P23229,Positive
ORF3A~P62491,ORF3A,P62491,Positive
ORF7A~P51148,ORF7A,P51148,Positive
ORF7A~Q8TB37,ORF7A,Q8TB37,Positive
NSP16~Q15154,NSP16,Q15154,Positive
ORF14~Q9NQQ7,ORF14,Q9NQQ7,Positive
ORF3B~C9JH25,ORF3B,C9JH25,Positive
ORF8~O14656,ORF8,O14656,Positive
E~Q9BQ39,E,Q9BQ39,Positive
E~Q6NUM9,E,Q6NUM9,Positive
NSP16~P38432,NSP16,P38432,Positive
ORF3A~Q15382,ORF3A,Q15382,Positive
S~Q9HBI6,S,Q9HBI6,Positive
NSP4~Q96BY9,NSP4,Q96BY9,Positive
ORF7A~O15260,ORF7A,O15260,Positive
ORF3A~Q9UP95,ORF3A,Q9UP95,Positive
ORF7B~Q9GZP9,ORF7B,Q9GZP9,Positive
NSP6~Q16718,NSP6,Q16718,Positive
NSP4~O15020,NSP4,O15020,Positive
ORF7A~Q96QD8,ORF7A,Q96QD8,Positive
ORF6~Q9GZY8,ORF6,Q9GZY8,Positive
ORF14~Q8WY36,ORF14,Q8WY36,Positive
NSP6~O15498,NSP6,O15498,Positive
ORF3B~P05204,ORF3B,P05204,Positive
ORF6~P35658,ORF6,P35658,Positive
NSP2~Q53EZ4,NSP2,Q53EZ4,Positive
ORF7B~Q16864,ORF7B,Q16864,Positive
S~Q9Y6I9,S,Q9Y6I9,Positive
NSP6~Q9NYM9,NSP6,Q9NYM9,Positive
ORF7B~Q8NC42,ORF7B,Q8NC42,Positive
ORF3B~Q5JTD0,ORF3B,Q5JTD0,Positive
NSP4~Q2PZI1,NSP4,Q2PZI1,Positive
ORF3A~Q6NUQ4,ORF3A,Q6NUQ4,Positive
S~Q9Y2G8,S,Q9Y2G8,Positive
M~Q9H8M5,M,Q9H8M5,Positive
ORF8~P56706,ORF8,P56706,Positive
NSP9~O15344,NSP9,O15344,Positive
S~Q9BXB4,S,Q9BXB4,Positive
ORF8~P30990,ORF8,P30990,Positive
S~Q8TCJ2,S,Q8TCJ2,Positive
NSP4~Q92538,NSP4,Q92538,Positive
ORF7A~P49821,ORF7A,P49821,Positive
E~Q15165,E,Q15165,Positive
ORF3A~O00186,ORF3A,O00186,Positive
NSP9~Q14207,NSP9,Q14207,Positive
NSP6~Q8TC12,NSP6,Q8TC12,Positive
ORF8~Q9UNK0,ORF8,Q9UNK0,Positive
N~P62701,N,P62701,Positive
ORF8~P12931,ORF8,P12931,Positive
ORF6~Q5VTR2,ORF6,Q5VTR2,Positive
ORF7B~Q16658,ORF7B,Q16658,Positive
S~Q08357,S,Q08357,Positive
ORF6~O95235,ORF6,O95235,Positive
