PPI,viral_prot,host_prot,class
nsp13-Q5VUJ6,NSP13,Q5VUJ6,Positive
nsp13-Q66GS9,NSP13,Q66GS9,Positive
nsp13-Q69YQ0,NSP13,Q69YQ0,Positive
nsp13-Q6PJ61,NSP13,Q6PJ61,Positive
nsp13-Q6WCQ1,NSP13,Q6WCQ1,Positive
nsp13-Q6ZVM7,NSP13,Q6ZVM7,Positive
nsp13-Q76I76,NSP13,Q76I76,Positive
nsp13-Q7RTP6,NSP13,Q7RTP6,Positive
nsp13-Q7Z406,NSP13,Q7Z406,Positive
nsp13-Q86TU7,NSP13,Q86TU7,Positive
nsp13-Q86XJ1,NSP13,Q86XJ1,Positive
nsp13-Q86YT6,NSP13,Q86YT6,Positive
nsp13-Q8IUD2,NSP13,Q8IUD2,Positive
nsp13-Q8N3C7,NSP13,Q8N3C7,Positive
nsp13-Q8N4C6,NSP13,Q8N4C6,Positive
nsp13-Q8N8E3,NSP13,Q8N8E3,Positive
nsp13-Q8N8Y2,NSP13,Q8N8Y2,Positive
nsp13-Q8TD10,NSP13,Q8TD10,Positive
nsp13-Q8WV41,NSP13,Q8WV41,Positive
nsp13-Q8WWI1,NSP13,Q8WWI1,Positive
nsp13-Q8WXW3,NSP13,Q8WXW3,Positive
nsp13-Q8WYL5,NSP13,Q8WYL5,Positive
nsp13-Q92614,NSP13,Q92614,Positive
nsp13-Q92747,NSP13,Q92747,Positive
nsp13-Q92828,NSP13,Q92828,Positive
nsp13-Q92995,NSP13,Q92995,Positive
nsp13-Q96AY4,NSP13,Q96AY4,Positive
nsp13-Q96CN9,NSP13,Q96CN9,Positive
nsp13-Q96DN5,NSP13,Q96DN5,Positive
nsp13-Q96H55,NSP13,Q96H55,Positive
nsp13-Q96HA4,NSP13,Q96HA4,Positive
nsp13-Q96HP0,NSP13,Q96HP0,Positive
nsp13-Q96II8,NSP13,Q96II8,Positive
nsp13-Q96IZ0,NSP13,Q96IZ0,Positive
nsp13-Q96M89,NSP13,Q96M89,Positive
nsp13-Q96N16,NSP13,Q96N16,Positive
nsp13-Q96N67,NSP13,Q96N67,Positive
nsp13-Q96NB1,NSP13,Q96NB1,Positive
nsp13-Q96S97,NSP13,Q96S97,Positive
nsp13-Q96SN8,NSP13,Q96SN8,Positive
nsp13-Q96TC7,NSP13,Q96TC7,Positive
nsp13-Q99996,NSP13,Q99996,Positive
nsp13-Q9BPX5,NSP13,Q9BPX5,Positive
nsp13-Q9BQQ3,NSP13,Q9BQQ3,Positive
nsp13-Q9BV19,NSP13,Q9BV19,Positive
nsp13-Q9BV73,NSP13,Q9BV73,Positive
nsp13-Q9BWT7,NSP13,Q9BWT7,Positive
nsp13-Q9BZF9,NSP13,Q9BZF9,Positive
nsp13-Q9BZL4,NSP13,Q9BZL4,Positive
nsp13-Q9H0E2,NSP13,Q9H0E2,Positive
nsp13-Q9HB90,NSP13,Q9HB90,Positive
nsp13-Q9NQX4,NSP13,Q9NQX4,Positive
nsp13-Q9NWM3,NSP13,Q9NWM3,Positive
nsp13-Q9NYL9,NSP13,Q9NYL9,Positive
nsp13-Q9NYQ8,NSP13,Q9NYQ8,Positive
nsp13-Q9NZN5,NSP13,Q9NZN5,Positive
nsp13-Q9NZR1,NSP13,Q9NZR1,Positive
nsp13-Q9P0K7,NSP13,Q9P0K7,Positive
nsp13-Q9P209,NSP13,Q9P209,Positive
nsp13-Q9UEY8,NSP13,Q9UEY8,Positive
nsp13-Q9UHD2,NSP13,Q9UHD2,Positive
nsp13-Q9UJC3,NSP13,Q9UJC3,Positive
nsp13-Q9UJC5,NSP13,Q9UJC5,Positive
nsp13-Q9ULV0,NSP13,Q9ULV0,Positive
nsp13-Q9UM47,NSP13,Q9UM47,Positive
nsp13-Q9UM54,NSP13,Q9UM54,Positive
nsp13-Q9UPN4,NSP13,Q9UPN4,Positive
nsp13-Q9UPQ0,NSP13,Q9UPQ0,Positive
nsp13-Q9Y2I6,NSP13,Q9Y2I6,Positive
nsp13-Q9Y487,NSP13,Q9Y487,Positive
nsp13-Q9Y4I1,NSP13,Q9Y4I1,Positive
nsp13-Q9Y5K8,NSP13,Q9Y5K8,Positive
nsp13-Q9Y608,NSP13,Q9Y608,Positive
nsp13-Q9Y6R9,NSP13,Q9Y6R9,Positive
nsp14-O95714,NSP14,O95714,Positive
nsp14-P06280,NSP14,P06280,Positive
nsp14-P12268,NSP14,P12268,Positive
nsp14-P35244,NSP14,P35244,Positive
nsp14-Q96JM3,NSP14,Q96JM3,Positive
nsp14-Q96JN8,NSP14,Q96JN8,Positive
nsp14-Q96P16,NSP14,Q96P16,Positive
nsp14-Q9NXA8,NSP14,Q9NXA8,Positive
nsp14-Q9NYQ8,NSP14,Q9NYQ8,Positive
nsp15-P62330,NSP15,P62330,Positive
nsp15-P63279,NSP15,P63279,Positive
nsp15-Q2M296,NSP15,Q2M296,Positive
nsp16-O15243,NSP16,O15243,Positive
nsp16-O15431,NSP16,O15431,Positive
nsp16-O60220,NSP16,O60220,Positive
nsp16-O60232,NSP16,O60232,Positive
nsp16-O60613,NSP16,O60613,Positive
nsp16-O60826,NSP16,O60826,Positive
nsp16-O75352,NSP16,O75352,Positive
nsp16-O95271,NSP16,O95271,Positive
nsp16-P17066,NSP16,P17066,Positive
nsp16-P22392,NSP16,P22392,Positive
nsp16-P28838,NSP16,P28838,Positive
nsp16-P51530,NSP16,P51530,Positive
nsp16-Q10570,NSP16,Q10570,Positive
nsp16-Q12983,NSP16,Q12983,Positive
nsp16-Q13232,NSP16,Q13232,Positive
nsp16-Q567U6,NSP16,Q567U6,Positive
nsp16-Q5SVZ6,NSP16,Q5SVZ6,Positive
nsp16-Q5SZL2,NSP16,Q5SZL2,Positive
nsp16-Q6AI12,NSP16,Q6AI12,Positive
nsp16-Q6UW78,NSP16,Q6UW78,Positive
nsp16-Q7Z3J2,NSP16,Q7Z3J2,Positive
nsp16-Q8IUD2,NSP16,Q8IUD2,Positive
nsp16-Q8TEM1,NSP16,Q8TEM1,Positive
nsp16-Q96JJ7,NSP16,Q96JJ7,Positive
nsp16-Q96RE7,NSP16,Q96RE7,Positive
nsp16-Q96S55,NSP16,Q96S55,Positive
nsp16-Q9C0J8,NSP16,Q9C0J8,Positive
nsp16-Q9H2K2,NSP16,Q9H2K2,Positive
nsp16-Q9P2I0,NSP16,Q9P2I0,Positive
nsp16-Q9P2X0,NSP16,Q9P2X0,Positive
nsp16-Q9UKF6,NSP16,Q9UKF6,Positive
nsp16-Q9Y2D8,NSP16,Q9Y2D8,Positive
nsp16-Q9Y2S7,NSP16,Q9Y2S7,Positive
nsp2-O00303,NSP2,O00303,Positive
nsp2-O14744,NSP2,O14744,Positive
nsp2-O15371,NSP2,O15371,Positive
nsp2-O15372,NSP2,O15372,Positive
nsp2-O60573,NSP2,O60573,Positive
nsp2-O75420,NSP2,O75420,Positive
nsp2-O75821,NSP2,O75821,Positive
nsp2-O75822,NSP2,O75822,Positive
nsp2-O96008,NSP2,O96008,Positive
nsp2-P26196,NSP2,P26196,Positive
nsp2-P52306,NSP2,P52306,Positive
nsp2-P55072,NSP2,P55072,Positive
nsp2-P55884,NSP2,P55884,Positive
nsp2-P60228,NSP2,P60228,Positive
nsp2-Q13347,NSP2,Q13347,Positive
nsp2-Q14152,NSP2,Q14152,Positive
nsp2-Q5T1M5,NSP2,Q5T1M5,Positive
nsp2-Q6NUN9,NSP2,Q6NUN9,Positive
nsp2-Q6Y7W6,NSP2,Q6Y7W6,Positive
nsp2-Q702N8,NSP2,Q702N8,Positive
nsp2-Q7L2H7,NSP2,Q7L2H7,Positive
nsp2-Q86UK7,NSP2,Q86UK7,Positive
nsp2-Q93008,NSP2,Q93008,Positive
nsp2-Q96AN5,NSP2,Q96AN5,Positive
nsp2-Q96B49,NSP2,Q96B49,Positive
nsp2-Q96HB5,NSP2,Q96HB5,Positive
nsp2-Q96M86,NSP2,Q96M86,Positive
nsp2-Q99613,NSP2,Q99613,Positive
nsp2-Q9BQA1,NSP2,Q9BQA1,Positive
nsp2-Q9BUI4,NSP2,Q9BUI4,Positive
nsp2-Q9C037,NSP2,Q9C037,Positive
nsp2-Q9NW08,NSP2,Q9NW08,Positive
nsp2-Q9NZC9,NSP2,Q9NZC9,Positive
nsp2-Q9UBQ5,NSP2,Q9UBQ5,Positive
nsp2-Q9Y262,NSP2,Q9Y262,Positive
nsp4-P14735,NSP4,P14735,Positive
nsp4-P49257,NSP4,P49257,Positive
nsp4-P62699,NSP4,P62699,Positive
nsp4-Q13423,NSP4,Q13423,Positive
nsp4-Q2TAA5,NSP4,Q2TAA5,Positive
nsp4-Q6VN20,NSP4,Q6VN20,Positive
nsp4-Q7L5Y9,NSP4,Q7L5Y9,Positive
nsp4-Q8IXU6,NSP4,Q8IXU6,Positive
nsp4-Q96S59,NSP4,Q96S59,Positive
nsp4-Q9H7D7,NSP4,Q9H7D7,Positive
nsp4-Q9H871,NSP4,Q9H871,Positive
nsp4-Q9NWU2,NSP4,Q9NWU2,Positive
nsp4-Q9UL63,NSP4,Q9UL63,Positive
nsp5_C145A-A8MYB1,NSP5_C145A,A8MYB1,Positive
nsp5_C145A-O43291,NSP5_C145A,O43291,Positive
nsp5_C145A-P07203,NSP5_C145A,P07203,Positive
nsp5_C145A-Q15032,NSP5_C145A,Q15032,Positive
nsp5_C145A-Q3SXM0,NSP5_C145A,Q3SXM0,Positive
nsp5_C145A-Q6ZRY4,NSP5_C145A,Q6ZRY4,Positive
nsp5_C145A-Q7Z4W1,NSP5_C145A,Q7Z4W1,Positive
nsp5_C145A-Q96NT3,NSP5_C145A,Q96NT3,Positive
nsp5_C145A-Q96PK6,NSP5_C145A,Q96PK6,Positive
nsp5_C145A-Q9NXH9,NSP5_C145A,Q9NXH9,Positive
nsp5_C145A-Q9NYH9,NSP5_C145A,Q9NYH9,Positive
nsp5_C145A-Q9UBB9,NSP5_C145A,Q9UBB9,Positive
nsp5_C145A-Q9UFE4,NSP5_C145A,Q9UFE4,Positive
nsp5_C145A-Q9UFW8,NSP5_C145A,Q9UFW8,Positive
nsp5_C145A-Q9Y4F3,NSP5_C145A,Q9Y4F3,Positive
nsp5-P61077,NSP5,P61077,Positive
nsp5-Q14449,NSP5,Q14449,Positive
nsp5-Q15849,NSP5,Q15849,Positive
nsp5-Q3SXM0,NSP5,Q3SXM0,Positive
nsp5-Q7LBC6,NSP5,Q7LBC6,Positive
nsp6-O15162,NSP6,O15162,Positive
nsp6-O15260,NSP6,O15260,Positive
nsp6-O43292,NSP6,O43292,Positive
nsp6-O75947,NSP6,O75947,Positive
nsp6-P03928,NSP6,P03928,Positive
nsp6-P18859,NSP6,P18859,Positive
nsp6-P24539,NSP6,P24539,Positive
nsp6-P30049,NSP6,P30049,Positive
nsp6-Q15043,NSP6,Q15043,Positive
nsp6-Q15125,NSP6,Q15125,Positive
nsp6-Q16222,NSP6,Q16222,Positive
nsp6-Q4ZIN3,NSP6,Q4ZIN3,Positive
nsp6-Q5HYI8,NSP6,Q5HYI8,Positive
nsp6-Q8N0U8,NSP6,Q8N0U8,Positive
nsp6-Q96HV5,NSP6,Q96HV5,Positive
nsp6-Q96S52,NSP6,Q96S52,Positive
nsp6-Q99720,NSP6,Q99720,Positive
nsp6-Q9GZM5,NSP6,Q9GZM5,Positive
nsp6-Q9H2H9,NSP6,Q9H2H9,Positive
nsp7-A0PJW6,NSP7,A0PJW6,Positive
nsp7-A8MTT3,NSP7,A8MTT3,Positive
nsp7-O00116,NSP7,O00116,Positive
nsp7-O15270,NSP7,O15270,Positive
nsp7-O15431,NSP7,O15431,Positive
nsp7-O43402,NSP7,O43402,Positive
nsp7-O43615,NSP7,O43615,Positive
nsp7-O43772,NSP7,O43772,Positive
nsp7-O60231,NSP7,O60231,Positive
nsp7-O60524,NSP7,O60524,Positive
nsp7-O75063,NSP7,O75063,Positive
nsp7-O76095,NSP7,O76095,Positive
nsp7-O94766,NSP7,O94766,Positive
nsp7-O95139,NSP7,O95139,Positive
nsp7-O95563,NSP7,O95563,Positive
nsp7-O95573,NSP7,O95573,Positive
nsp7-O96011,NSP7,O96011,Positive
nsp7-P00167,NSP7,P00167,Positive
nsp7-P00387,NSP7,P00387,Positive
nsp7-P13498,NSP7,P13498,Positive
nsp7-P20339,NSP7,P20339,Positive
nsp7-P29083,NSP7,P29083,Positive
nsp7-P30536,NSP7,P30536,Positive
nsp7-P46736,NSP7,P46736,Positive
nsp7-P49069,NSP7,P49069,Positive
nsp7-P51148,NSP7,P51148,Positive
nsp7-P57105,NSP7,P57105,Positive
nsp7-P60602,NSP7,P60602,Positive
nsp7-P61006,NSP7,P61006,Positive
nsp7-P61019,NSP7,P61019,Positive
nsp7-P62341,NSP7,P62341,Positive
nsp7-Q08AM6,NSP7,Q08AM6,Positive
nsp7-Q10469,NSP7,Q10469,Positive
nsp7-Q12907,NSP7,Q12907,Positive
nsp7-Q13505,NSP7,Q13505,Positive
nsp7-Q13724,NSP7,Q13724,Positive
nsp7-Q14764,NSP7,Q14764,Positive
nsp7-Q14CB8,NSP7,Q14CB8,Positive
nsp7-Q2TAA5,NSP7,Q2TAA5,Positive
nsp7-Q3KQZ1,NSP7,Q3KQZ1,Positive
nsp7-Q4G0I0,NSP7,Q4G0I0,Positive
nsp7-Q5BJD5,NSP7,Q5BJD5,Positive
nsp7-Q5F1R6,NSP7,Q5F1R6,Positive
nsp7-Q5JTV8,NSP7,Q5JTV8,Positive
nsp7-Q5RI15,NSP7,Q5RI15,Positive
nsp7-Q5SVS4,NSP7,Q5SVS4,Positive
nsp7-Q5VT66,NSP7,Q5VT66,Positive
nsp7-Q69YU5,NSP7,Q69YU5,Positive
nsp7-Q6NXE6,NSP7,Q6NXE6,Positive
nsp7-Q6NYC1,NSP7,Q6NYC1,Positive
nsp7-Q6P1Q0,NSP7,Q6P1Q0,Positive
nsp7-Q6UW02,NSP7,Q6UW02,Positive
nsp7-Q6ZRP7,NSP7,Q6ZRP7,Positive
nsp7-Q7LGA3,NSP7,Q7LGA3,Positive
nsp7-Q7Z434,NSP7,Q7Z434,Positive
nsp7-Q86Y39,NSP7,Q86Y39,Positive
nsp7-Q8IUR0,NSP7,Q8IUR0,Positive
nsp7-Q8IXM6,NSP7,Q8IXM6,Positive
nsp7-Q8N183,NSP7,Q8N183,Positive
nsp7-Q8N357,NSP7,Q8N357,Positive
nsp7-Q8N5G0,NSP7,Q8N5G0,Positive
nsp7-Q8N5Y8,NSP7,Q8N5Y8,Positive
nsp7-Q8N9F7,NSP7,Q8N9F7,Positive
nsp7-Q8NBJ4,NSP7,Q8NBJ4,Positive
nsp7-Q8NBU5,NSP7,Q8NBU5,Positive
nsp7-Q8NBX0,NSP7,Q8NBX0,Positive
nsp7-Q8TBP6,NSP7,Q8TBP6,Positive
nsp7-Q8TC12,NSP7,Q8TC12,Positive
nsp7-Q8TDB4,NSP7,Q8TDB4,Positive
nsp7-Q8TED1,NSP7,Q8TED1,Positive
nsp7-Q8TF01,NSP7,Q8TF01,Positive
nsp7-Q8WTV0,NSP7,Q8WTV0,Positive
nsp7-Q8WUY8,NSP7,Q8WUY8,Positive
nsp7-Q8WVC6,NSP7,Q8WVC6,Positive
nsp7-Q92685,NSP7,Q92685,Positive
nsp7-Q969X5,NSP7,Q969X5,Positive
nsp7-Q96A26,NSP7,Q96A26,Positive
nsp7-Q96BW9,NSP7,Q96BW9,Positive
nsp7-Q96D05,NSP7,Q96D05,Positive
nsp7-Q96DA6,NSP7,Q96DA6,Positive
nsp7-Q96ER9,NSP7,Q96ER9,Positive
nsp7-Q96FZ5,NSP7,Q96FZ5,Positive
nsp7-Q96HJ9,NSP7,Q96HJ9,Positive
nsp7-Q96HV5,NSP7,Q96HV5,Positive
nsp7-Q96IK1,NSP7,Q96IK1,Positive
nsp7-Q96KA5,NSP7,Q96KA5,Positive
nsp7-Q96KC8,NSP7,Q96KC8,Positive
nsp7-Q96MF7,NSP7,Q96MF7,Positive
nsp7-Q96NB2,NSP7,Q96NB2,Positive
nsp7-Q99584,NSP7,Q99584,Positive
nsp7-Q99622,NSP7,Q99622,Positive
nsp7-Q9BQE4,NSP7,Q9BQE4,Positive
nsp7-Q9BUE6,NSP7,Q9BUE6,Positive
nsp7-Q9BVV7,NSP7,Q9BVV7,Positive
nsp7-Q9BXJ8,NSP7,Q9BXJ8,Positive
nsp7-Q9H3K2,NSP7,Q9H3K2,Positive
nsp7-Q9H3R5,NSP7,Q9H3R5,Positive
nsp7-Q9H7Z7,NSP7,Q9H7Z7,Positive
nsp7-Q9H8H3,NSP7,Q9H8H3,Positive
nsp7-Q9NR77,NSP7,Q9NR77,Positive
nsp7-Q9NVE7,NSP7,Q9NVE7,Positive
nsp7-Q9NVJ2,NSP7,Q9NVJ2,Positive
nsp7-Q9NX40,NSP7,Q9NX40,Positive
nsp7-Q9NXS2,NSP7,Q9NXS2,Positive
nsp7-Q9NYJ1,NSP7,Q9NYJ1,Positive
nsp7-Q9NYP7,NSP7,Q9NYP7,Positive
nsp7-Q9NZ45,NSP7,Q9NZ45,Positive
nsp7-Q9UBV7,NSP7,Q9UBV7,Positive
nsp7-Q9UHQ9,NSP7,Q9UHQ9,Positive
nsp7-Q9Y2R0,NSP7,Q9Y2R0,Positive
nsp7-Q9Y385,NSP7,Q9Y385,Positive
nsp7-Q9Y3D7,NSP7,Q9Y3D7,Positive
nsp7-Q9Y5N6,NSP7,Q9Y5N6,Positive
nsp7-Q9Y5U8,NSP7,Q9Y5U8,Positive
nsp7-Q9Y619,NSP7,Q9Y619,Positive
nsp7-Q9Y639,NSP7,Q9Y639,Positive
nsp7-Q9Y6N1,NSP7,Q9Y6N1,Positive
nsp8-A6NHQ2,NSP8,A6NHQ2,Positive
nsp8-O00411,NSP8,O00411,Positive
nsp8-O00566,NSP8,O00566,Positive
nsp8-O00746,NSP8,O00746,Positive
nsp8-O15213,NSP8,O15213,Positive
nsp8-O60287,NSP8,O60287,Positive
nsp8-O76094,NSP8,O76094,Positive
nsp8-O95260,NSP8,O95260,Positive
nsp8-O95478,NSP8,O95478,Positive
nsp8-O95707,NSP8,O95707,Positive
nsp8-O96028,NSP8,O96028,Positive
nsp8-P09001,NSP8,P09001,Positive
nsp8-P09132,NSP8,P09132,Positive
nsp8-P42285,NSP8,P42285,Positive
nsp8-P51398,NSP8,P51398,Positive
nsp8-P61011,NSP8,P61011,Positive
nsp8-P78345,NSP8,P78345,Positive
nsp8-P82663,NSP8,P82663,Positive
nsp8-P82675,NSP8,P82675,Positive
nsp8-Q02040,NSP8,Q02040,Positive
nsp8-Q06481,NSP8,Q06481,Positive
nsp8-Q13206,NSP8,Q13206,Positive
nsp8-Q13823,NSP8,Q13823,Positive
nsp8-Q13868,NSP8,Q13868,Positive
nsp8-Q14137,NSP8,Q14137,Positive
nsp8-Q14146,NSP8,Q14146,Positive
nsp8-Q14596,NSP8,Q14596,Positive
nsp8-Q14692,NSP8,Q14692,Positive
nsp8-Q14746,NSP8,Q14746,Positive
nsp8-Q14765,NSP8,Q14765,Positive
nsp8-Q15361,NSP8,Q15361,Positive
nsp8-Q15397,NSP8,Q15397,Positive
nsp8-Q15572,NSP8,Q15572,Positive
nsp8-Q1ED39,NSP8,Q1ED39,Positive
nsp8-Q4G0J3,NSP8,Q4G0J3,Positive
nsp8-Q53GS7,NSP8,Q53GS7,Positive
nsp8-Q5T280,NSP8,Q5T280,Positive
nsp8-Q68D10,NSP8,Q68D10,Positive
nsp8-Q6DD87,NSP8,Q6DD87,Positive
nsp8-Q6PCB5,NSP8,Q6PCB5,Positive
nsp8-Q6PK81,NSP8,Q6PK81,Positive
nsp8-Q6RFH5,NSP8,Q6RFH5,Positive
nsp8-Q76FK4,NSP8,Q76FK4,Positive
nsp8-Q7L2J0,NSP8,Q7L2J0,Positive
nsp8-Q7L2Z9,NSP8,Q7L2Z9,Positive
nsp8-Q86U86,NSP8,Q86U86,Positive
nsp8-Q86XZ4,NSP8,Q86XZ4,Positive
nsp8-Q8IWF6,NSP8,Q8IWF6,Positive
nsp8-Q8IY37,NSP8,Q8IY37,Positive
nsp8-Q8N567,NSP8,Q8N567,Positive
nsp8-Q8N983,NSP8,Q8N983,Positive
nsp8-Q8N9T8,NSP8,Q8N9T8,Positive
nsp8-Q8NDF8,NSP8,Q8NDF8,Positive
nsp8-Q8NEJ9,NSP8,Q8NEJ9,Positive
nsp8-Q8NGJ1,NSP8,Q8NGJ1,Positive
nsp8-Q8NHH1,NSP8,Q8NHH1,Positive
nsp8-Q8WUA4,NSP8,Q8WUA4,Positive
nsp8-Q8WUQ7,NSP8,Q8WUQ7,Positive
nsp8-Q8WYP5,NSP8,Q8WYP5,Positive
nsp8-Q96B26,NSP8,Q96B26,Positive
nsp8-Q96EL2,NSP8,Q96EL2,Positive
nsp8-Q96FK6,NSP8,Q96FK6,Positive
nsp8-Q96G21,NSP8,Q96G21,Positive
nsp8-Q96JM3,NSP8,Q96JM3,Positive
nsp8-Q96ME7,NSP8,Q96ME7,Positive
nsp8-Q96MX3,NSP8,Q96MX3,Positive
nsp8-Q99547,NSP8,Q99547,Positive
nsp8-Q9BPX1,NSP8,Q9BPX1,Positive
nsp8-Q9BQ04,NSP8,Q9BQ04,Positive
nsp8-Q9BRD0,NSP8,Q9BRD0,Positive
nsp8-Q9BSC4,NSP8,Q9BSC4,Positive
nsp8-Q9BVS4,NSP8,Q9BVS4,Positive
nsp8-Q9BXS6,NSP8,Q9BXS6,Positive
nsp8-Q9GZL7,NSP8,Q9GZL7,Positive
nsp8-Q9GZR2,NSP8,Q9GZR2,Positive
nsp8-Q9GZR7,NSP8,Q9GZR7,Positive
nsp8-Q9H116,NSP8,Q9H116,Positive
nsp8-Q9H6D7,NSP8,Q9H6D7,Positive
nsp8-Q9H6F5,NSP8,Q9H6F5,Positive
nsp8-Q9H6S0,NSP8,Q9H6S0,Positive
nsp8-Q9H8G2,NSP8,Q9H8G2,Positive
nsp8-Q9H8H2,NSP8,Q9H8H2,Positive
nsp8-Q9H9Y2,NSP8,Q9H9Y2,Positive
nsp8-Q9HBE1,NSP8,Q9HBE1,Positive
nsp8-Q9HC52,NSP8,Q9HC52,Positive
nsp8-Q9NPE3,NSP8,Q9NPE3,Positive
nsp8-Q9NQT4,NSP8,Q9NQT4,Positive
nsp8-Q9NQT5,NSP8,Q9NQT5,Positive
nsp8-Q9NV31,NSP8,Q9NV31,Positive
nsp8-Q9NXF1,NSP8,Q9NXF1,Positive
nsp8-Q9NY61,NSP8,Q9NY61,Positive
nsp8-Q9P1U0,NSP8,Q9P1U0,Positive
nsp8-Q9P275,NSP8,Q9P275,Positive
nsp8-Q9P289,NSP8,Q9P289,Positive
nsp8-Q9P2K5,NSP8,Q9P2K5,Positive
nsp8-Q9UGI8,NSP8,Q9UGI8,Positive
nsp8-Q9UGY1,NSP8,Q9UGY1,Positive
nsp8-Q9UHA3,NSP8,Q9UHA3,Positive
nsp8-Q9UHB9,NSP8,Q9UHB9,Positive
nsp8-Q9UKT7,NSP8,Q9UKT7,Positive
nsp8-Q9UL40,NSP8,Q9UL40,Positive
nsp8-Q9ULT8,NSP8,Q9ULT8,Positive
nsp8-Q9Y3B7,NSP8,Q9Y3B7,Positive
nsp9-A4D1E9,NSP9,A4D1E9,Positive
nsp9-A6NIH7,NSP9,A6NIH7,Positive
nsp9-O00142,NSP9,O00142,Positive
nsp9-O75494,NSP9,O75494,Positive
nsp9-O95747,NSP9,O95747,Positive
nsp9-P13984,NSP9,P13984,Positive
nsp9-P15170,NSP9,P15170,Positive
nsp9-P26358,NSP9,P26358,Positive
nsp9-P35555,NSP9,P35555,Positive
nsp9-P35556,NSP9,P35556,Positive
nsp9-P41091,NSP9,P41091,Positive
nsp9-P43897,NSP9,P43897,Positive
nsp9-P50579,NSP9,P50579,Positive
nsp9-P51114,NSP9,P51114,Positive
nsp9-P51659,NSP9,P51659,Positive
nsp9-P54277,NSP9,P54277,Positive
nsp9-P61962,NSP9,P61962,Positive
nsp9-Q13123,NSP9,Q13123,Positive
nsp9-Q14232,NSP9,Q14232,Positive
nsp9-Q14CX7,NSP9,Q14CX7,Positive
nsp9-Q2TAY7,NSP9,Q2TAY7,Positive
nsp9-Q5F1R6,NSP9,Q5F1R6,Positive
nsp9-Q5T8P6,NSP9,Q5T8P6,Positive
nsp9-Q5TBB1,NSP9,Q5TBB1,Positive
nsp9-Q6NVY1,NSP9,Q6NVY1,Positive
nsp9-Q7Z478,NSP9,Q7Z478,Positive
nsp9-Q7Z4V5,NSP9,Q7Z4V5,Positive
nsp9-Q7Z7A4,NSP9,Q7Z7A4,Positive
nsp9-Q86TU7,NSP9,Q86TU7,Positive
nsp9-Q86V87,NSP9,Q86V87,Positive
nsp9-Q86XP3,NSP9,Q86XP3,Positive
nsp9-Q86YT6,NSP9,Q86YT6,Positive
nsp9-Q8IXQ4,NSP9,Q8IXQ4,Positive
nsp9-Q8N0X7,NSP9,Q8N0X7,Positive
nsp9-Q8N1G2,NSP9,Q8N1G2,Positive
nsp9-Q8N6M0,NSP9,Q8N6M0,Positive
nsp9-Q8NF91,NSP9,Q8NF91,Positive
nsp9-Q8TD19,NSP9,Q8TD19,Positive
nsp9-Q8WXD5,NSP9,Q8WXD5,Positive
nsp9-Q8WYA6,NSP9,Q8WYA6,Positive
nsp9-Q92506,NSP9,Q92506,Positive
nsp9-Q96EY8,NSP9,Q96EY8,Positive
nsp9-Q96F45,NSP9,Q96F45,Positive
nsp9-Q96M69,NSP9,Q96M69,Positive
nsp9-Q96P47,NSP9,Q96P47,Positive
nsp9-Q96S44,NSP9,Q96S44,Positive
nsp9-Q99990,NSP9,Q99990,Positive
nsp9-Q9BVS4,NSP9,Q9BVS4,Positive
nsp9-Q9BXJ9,NSP9,Q9BXJ9,Positive
nsp9-Q9GZZ1,NSP9,Q9GZZ1,Positive
nsp9-Q9NTM9,NSP9,Q9NTM9,Positive
nsp9-Q9NVM6,NSP9,Q9NVM6,Positive
nsp9-Q9NZ63,NSP9,Q9NZ63,Positive
nsp9-Q9UGM6,NSP9,Q9UGM6,Positive
nsp9-Q9UKK9,NSP9,Q9UKK9,Positive
nsp9-Q9Y450,NSP9,Q9Y450,Positive
nsp9-Q9Y4B5,NSP9,Q9Y4B5,Positive
orf3a-O00186,ORF3A,O00186,Positive
orf3a-O95573,ORF3A,O95573,Positive
orf3a-P05423,ORF3A,P05423,Positive
orf3a-Q12846,ORF3A,Q12846,Positive
orf3a-Q92734,ORF3A,Q92734,Positive
orf3a-Q96S66,ORF3A,Q96S66,Positive
orf3a-Q9NPB0,ORF3A,Q9NPB0,Positive
orf3a-Q9UHD8,ORF3A,Q9UHD8,Positive
orf3a-Q9Y4P3,ORF3A,Q9Y4P3,Positive
orf3b-O15355,ORF3B,O15355,Positive
orf3b-P31948,ORF3B,P31948,Positive
orf3b-P53004,ORF3B,P53004,Positive
orf3b-P61289,ORF3B,P61289,Positive
orf3b-Q00987,ORF3B,Q00987,Positive
orf3b-Q7Z6Z7,ORF3B,Q7Z6Z7,Positive
orf3b-Q8N726,ORF3B,Q8N726,Positive
orf3b-Q96RG2,ORF3B,Q96RG2,Positive
orf3b-Q9P287,ORF3B,Q9P287,Positive
orf6-L0R6Q1,ORF6,L0R6Q1,Positive
orf6-O15173,ORF6,O15173,Positive
orf6-O15504,ORF6,O15504,Positive
orf6-O75298,ORF6,O75298,Positive
orf6-O75817,ORF6,O75817,Positive
orf6-O95197,ORF6,O95197,Positive
orf6-O95870,ORF6,O95870,Positive
orf6-O96008,ORF6,O96008,Positive
orf6-P31146,ORF6,P31146,Positive
orf6-P35658,ORF6,P35658,Positive
orf6-P52948,ORF6,P52948,Positive
orf6-P78406,ORF6,P78406,Positive
