PPI,viral_prot,host_prot,ensemble,class
NSP9~Q9H0H0,NSP9,Q9H0H0,0.45203571,Negative
ORF8~P61019,ORF8,P61019,0.327231766,Negative
NSP15~O96028,NSP15,O96028,0.1073009,Negative
S~Q8IWJ2,S,Q8IWJ2,0.290822127,Negative
NSP5~Q9C0E2,NSP5,Q9C0E2,0.101871104,Negative
NSP14~O95147,NSP14,O95147,0.181086442,Negative
NSP15~P61006,NSP15,P61006,0.169996813,Negative
ORF3A~Q7Z4H8,ORF3A,Q7Z4H8,0.160859319,Negative
NSP12~O00115,NSP12,O00115,0.412917731,Negative
NSP13~Q9H0H0,NSP13,Q9H0H0,0.551181495,Negative
NSP2~O75665,NSP2,O75665,0.271143278,Negative
NSP1~O95613,NSP1,O95613,0.225423613,Negative
ORF3A~Q9NYU1,ORF3A,Q9NYU1,0.209758347,Negative
E~Q16585,E,Q16585,0.462923907,Negative
NSP14~O00469,NSP14,O00469,0.217667297,Negative
NSP10~Q9UKA9,NSP10,Q9UKA9,0.238545882,Negative
NSP5~Q96CM3,NSP5,Q96CM3,0.145998026,Negative
NSP1~Q8NBX0,NSP1,Q8NBX0,0.148862343,Negative
E~Q9BV19,E,Q9BV19,0.493805744,Negative
NSP10~Q9ULT8,NSP10,Q9ULT8,0.189970411,Negative
E~Q04726,E,Q04726,0.500783745,Negative
ORF6~Q99758,ORF6,Q99758,0.268441623,Negative
ORF3B~Q9NX62,ORF3B,Q9NX62,0.639696238,Negative
NSP1~Q8IUD2,NSP1,Q8IUD2,0.211134515,Negative
NSP15~Q93062,NSP15,Q93062,0.183052594,Negative
NSP16~Q99567,NSP16,Q99567,0.227355975,Negative
NSP8~P61160,NSP8,P61160,0.559145067,Negative
NSP12~Q00765,NSP12,Q00765,0.220039495,Negative
NSP12~Q13617,NSP12,Q13617,0.374899988,Negative
NSP10~Q6NXT1,NSP10,Q6NXT1,0.288967257,Negative
